doy,NDVI for pixel Lon:-71.96 Lat:-9.20
1,
4,0.64
9,
20,
32,0.611
35,0.821
36,0.766
40,
42,
45,0.803
50,
51,
52,
57,
60,
63,
65,
67,
68,0.767
72,0.758
74,0.782
77,
79,
83,0.833
86,
88,0.769
92,0.844
93,
94,0.63
99,
100,
104,0.853
106,
107,
109,0.694
110,0.728
111,
112,
113,0.805
116,0.797
117,
118,0.832
121,0.792
123,0.819
124,0.834
125,0.732
126,
127,0.842
128,0.856
129,0.815
130,0.808
132,0.719
133,0.822
134,0.838
135,0.784
136,
137,0.809
138,
139,0.82
140,
141,0.761
142,
143,0.199
144,0.819
145,0.844
146,0.791
147,0.712
148,0.623
149,0.81
150,0.781
152,0.823
153,
155,0.854
156,
157,0.765
158,0.698
159,
160,0.694
161,0.81
162,0.842
163,0.846
164,0.819
165,0.855
166,0.783
167,
168,0.824
169,0.8
170,0.823
171,0.785
172,0.828
173,0.765
174,0.827
175,0.842
176,0.78
177,0.816
178,0.783
179,0.844
181,0.683
182,0.796
183,0.806
184,0.813
185,0.825
186,0.746
187,0.795
188,0.709
189,0.726
190,0.81
191,0.805
193,0.827
194,0.791
195,0.804
196,0.831
197,0.793
198,0.768
199,0.837
200,0.797
201,
202,0.741
203,
204,0.676
205,0.713
206,
207,0.806
208,0.795
209,0.755
210,0.783
211,0.756
212,
213,0.755
214,0.78
215,
216,0.79
217,0.73
218,0.693
219,0.78
220,0.771
221,0.741
222,0.753
223,0.767
224,0.779
225,0.734
226,0.75
227,0.725
228,0.731
229,0.577
230,0.697
231,0.76
232,0.667
233,0.67
234,
235,0.758
236,0.635
237,0.701
238,0.725
239,
240,0.768
241,0.614
242,0.764
243,0.749
244,0.762
245,0.445
246,0.74
247,0.774
248,0.254
249,0.789
250,0.806
251,0.75
252,0.703
253,0.482
254,0.73
255,0.705
256,0.797
257,0.674
258,
259,0.776
260,
261,
262,0.795
263,0.73
264,
265,0.813
266,0.587
267,0.737
268,0.625
269,
270,0.761
271,0.764
272,
273,0.559
274,0.73
275,0.827
276,0.837
277,0.536
278,0.787
279,0.73
280,0.832
283,
284,0.736
285,0.793
286,0.822
287,0.833
289,0.609
291,0.819
292,0.873
294,
295,
297,
299,
300,0.839
301,
303,0.848
305,
307,0.674
308,0.824
309,0.81
310,
312,0.793
313,0.789
314,0.846
315,0.876
318,
319,0.843
320,0.641
321,
323,
326,0.847
328,
330,0.859
331,0.857
332,
334,
337,
343,
352,
356,0.833
360,
363,0.854
