system:time_start,NDVI for pixel Lon:22.50 Lat:-19.10
"Jun 9, 1984",0.475
"Sep 13, 1984",
"Sep 29, 1984",0.367
"Apr 9, 1985",0.574
"Nov 6, 1986",
"Nov 22, 1986",0.467
"Dec 24, 1986",0.518
"Jan 9, 1987",
"Feb 10, 1987",0.306
"Feb 26, 1987",
"Mar 14, 1987",
"Mar 30, 1987",0.287
"Jun 2, 1987",0.502
"Jun 18, 1987",0.528
"Jul 20, 1987",0.504
"Sep 6, 1987",0.408
"Jan 14, 1989",0.59
"Feb 15, 1989",0.468
"Mar 3, 1989",0.586
"Mar 19, 1989",0.558
"Apr 4, 1989",0.59
"Apr 20, 1989",0.628
"May 22, 1989",0.596
"Jul 9, 1989",0.418
"Jul 25, 1989",0.429
"Aug 10, 1989",0.448
"Aug 26, 1989",0.338
"Nov 30, 1989",0.399
"Feb 18, 1990",0.559
"Mar 6, 1990",
"Mar 22, 1990",0.279
"Apr 7, 1990",0.406
"Apr 23, 1990",0.424
"May 25, 1990",0.453
"Jun 10, 1990",0.476
"Jun 26, 1990",0.541
"Jul 12, 1990",0.424
"Aug 29, 1990",0.51
"Sep 30, 1990",0.346
"Nov 1, 1990",0.421
"Dec 19, 1990",
"Jan 4, 1991",0.453
"Jan 20, 1991",0.439
"Feb 21, 1991",0.568
"Mar 9, 1991",0.563
"May 12, 1991",0.533
"Jun 13, 1991",0.551
"Jun 29, 1991",0.427
"Jul 15, 1991",0.41
"Jul 31, 1991",0.422
"Aug 16, 1991",0.448
"Oct 3, 1991",0.346
"Oct 19, 1991",
"Jan 7, 1992",0.342
"Feb 8, 1992",0.342
"Feb 24, 1992",0.341
"Mar 27, 1992",0.311
"Apr 12, 1992",0.504
"May 14, 1992",0.543
"Jun 15, 1992",0.553
"Aug 2, 1992",0.473
"Oct 5, 1992",0.436
"Oct 21, 1992",0.467
"Nov 6, 1992",
"Dec 8, 1992",
"Dec 24, 1992",0.406
"Jan 25, 1993",
"Mar 14, 1993",0.568
"Apr 15, 1993",0.525
"May 17, 1993",0.456
"Jul 4, 1993",
"Oct 8, 1993",
"Oct 24, 1993",
"Dec 11, 1993",
"Mar 17, 1994",0.513
"Apr 18, 1994",0.484
"Jun 21, 1994",0.375
"Jul 7, 1994",0.371
"Aug 8, 1994",0.37
"Oct 11, 1994",0.344
"Nov 28, 1994",0.336
"Dec 14, 1994",0.353
"Feb 16, 1995",0.379
"Mar 4, 1995",0.334
"Mar 20, 1995",
"Apr 21, 1995",0.427
"Jun 8, 1995",0.341
"Aug 11, 1995",0.439
"Aug 27, 1995",
"Sep 12, 1995",0.396
"Oct 14, 1995",0.42
"Dec 17, 1995",
"Feb 3, 1996",0.579
"Mar 6, 1996",0.654
"Mar 22, 1996",0.537
"Apr 7, 1996",0.442
"Apr 23, 1996",0.329
"Jun 26, 1996",0.266
"Jul 12, 1996",0.262
"Aug 13, 1996",0.309
"Sep 14, 1996",0.315
"Sep 30, 1996",0.396
"Oct 16, 1996",0.374
"Dec 3, 1996",0.412
"Dec 19, 1996",0.377
"Jan 4, 1997",0.393
"Jan 20, 1997",0.568
"Feb 21, 1997",0.628
"Mar 9, 1997",0.556
"Apr 10, 1997",0.569
"Apr 26, 1997",0.482
"Jun 29, 1997",0.37
"Jul 15, 1997",0.436
"Jul 31, 1997",0.447
"Aug 16, 1997",0.431
"Sep 17, 1997",0.585
"Oct 3, 1997",0.546
"Jan 7, 1998",
"Jan 23, 1998",0.556
"Feb 8, 1998",0.547
"Feb 24, 1998",0.434
"Apr 29, 1998",
"May 31, 1998",0.238
"Jul 18, 1998",0.467
"Aug 3, 1998",0.41
"Aug 19, 1998",0.496
"Sep 4, 1998",0.43
"Oct 22, 1998",0.373
"Nov 23, 1998",0.479
"Dec 25, 1998",
"Jan 10, 1999",
"Jan 26, 1999",
"Feb 11, 1999",0.638
"Feb 27, 1999",0.58
"Jul 5, 1999",
"Feb 14, 2000",
"Apr 2, 2000",
"Aug 24, 2000",0.416
"Sep 9, 2000",
"Sep 25, 2000",0.444
"May 7, 2001",0.404
"Jul 10, 2001",0.442
"Aug 11, 2001",0.478
"Dec 7, 2003",0.458
"Mar 12, 2004",
"Apr 13, 2004",0.572
"Apr 29, 2004",0.532
"May 31, 2004",0.477
"Jun 16, 2004",0.508
"Jul 2, 2004",
"Jul 18, 2004",0.5
"Aug 3, 2004",0.406
"Sep 4, 2004",0.491
"Sep 20, 2004",0.481
"Feb 11, 2005",
"Apr 16, 2005",0.481
"Jul 21, 2005",0.488
"Sep 7, 2005",
"Sep 23, 2005",0.425
"Oct 9, 2005",0.42
"Nov 10, 2005",
"Feb 14, 2006",
"Mar 2, 2006",
"Apr 3, 2006",0.569
"Jun 6, 2006",0.534
"Jun 22, 2006",0.438
"Jul 8, 2006",0.406
"Jul 24, 2006",
"Aug 9, 2006",0.426
"Aug 25, 2006",0.41
"Sep 10, 2006",
"Sep 26, 2006",0.39
"Dec 15, 2006",0.45
"Feb 17, 2007",0.456
"Mar 5, 2007",
"Apr 6, 2007",0.578
"Apr 22, 2007",0.46
"Jul 27, 2007",0.465
"Mar 7, 2008",0.603
"Apr 8, 2008",0.526
"Apr 24, 2008",0.551
"May 10, 2008",0.507
"Aug 30, 2008",
"Sep 15, 2008",0.403
"Oct 1, 2008",
"Mar 26, 2009",0.61
"Apr 27, 2009",0.544
"Nov 5, 2009",
"Jan 24, 2010",
"Mar 29, 2010",0.565
"May 16, 2010",0.493
