system:time_start,NDVI for pixel Lon:-110.55 Lat:31.33
"Apr 17, 1984",
"May 3, 1984",0.217
"May 10, 1984",0.209
"May 26, 1984",0.193
"Jun 4, 1984",
"Jun 20, 1984",0.189
"Jun 27, 1984",
"Jul 6, 1984",0.29
"Oct 17, 1984",0.299
"Nov 2, 1984",0.235
"Nov 18, 1984",0.203
"Nov 27, 1984",0.184
"Dec 20, 1984",0.167
"Dec 29, 1984",0.154
"Jan 5, 1985",0.145
"Apr 4, 1985",0.173
"Apr 20, 1985",0.209
"Jul 25, 1985",0.284
"Aug 10, 1985",
"Aug 17, 1985",0.367
"Aug 26, 1985",0.445
"Sep 11, 1985",
"Sep 27, 1985",0.274
"Oct 13, 1985",0.299
"Oct 20, 1985",0.303
"Oct 29, 1985",0.246
"Nov 14, 1985",0.231
"Nov 21, 1985",0.202
"Dec 7, 1985",0.196
"Jan 8, 1986",0.151
"Jan 17, 1986",0.156
"Jan 24, 1986",0.154
"Feb 2, 1986",0.146
"Feb 18, 1986",0.145
"Feb 25, 1986",0.142
"Mar 13, 1986",0.206
"Mar 22, 1986",0.185
"Apr 7, 1986",0.225
"Apr 23, 1986",0.202
"May 25, 1986",
"Jun 10, 1986",0.213
"Jun 26, 1986",0.189
"Jul 12, 1986",0.274
"Jul 28, 1986",
"Aug 13, 1986",0.351
"Sep 14, 1986",0.431
"Oct 16, 1986",0.258
"Nov 1, 1986",0.194
"Nov 17, 1986",
"Nov 24, 1986",0.182
"Dec 10, 1986",
"Dec 19, 1986",0.144
"Dec 26, 1986",0.119
"Jan 4, 1987",0.123
"Jan 11, 1987",0.109
"Jan 20, 1987",
"Feb 5, 1987",0.116
"Feb 28, 1987",0.091
"Mar 25, 1987",
"Apr 1, 1987",0.121
"Apr 10, 1987",0.135
"Apr 17, 1987",0.158
"Apr 26, 1987",0.171
"May 3, 1987",0.176
"May 12, 1987",0.186
"May 19, 1987",
"May 28, 1987",0.164
"Jun 4, 1987",0.175
"Jun 13, 1987",0.156
"Jun 20, 1987",
"Jun 29, 1987",0.156
"Jul 6, 1987",0.152
"Jul 15, 1987",
"Jul 31, 1987",0.201
"Aug 7, 1987",
"Aug 16, 1987",0.325
"Aug 23, 1987",0.345
"Sep 1, 1987",0.364
"Sep 8, 1987",0.326
"Sep 24, 1987",0.267
"Oct 3, 1987",0.278
"Oct 10, 1987",0.231
"Oct 19, 1987",0.208
"Oct 26, 1987",0.218
"Mar 18, 1988",0.112
"Mar 27, 1988",0.103
"Apr 3, 1988",0.152
"Apr 12, 1988",0.12
"Apr 19, 1988",0.174
"May 5, 1988",0.188
"May 14, 1988",0.163
"May 21, 1988",0.16
"May 30, 1988",0.143
"Jun 6, 1988",0.149
"Jun 15, 1988",0.142
"Jun 22, 1988",0.16
"Jul 1, 1988",0.146
"Jul 8, 1988",0.184
