system:time_start,NDVI for pixel Lon:-110.54 Lat:31.34
"Apr 17, 1984",
"May 3, 1984",0.206
"May 10, 1984",0.203
"May 26, 1984",0.183
"Jun 4, 1984",
"Jun 20, 1984",0.182
"Jun 27, 1984",0.197
"Jul 6, 1984",0.25
"Oct 17, 1984",
"Nov 2, 1984",0.265
"Nov 18, 1984",0.222
"Nov 27, 1984",0.201
"Dec 20, 1984",0.167
"Dec 29, 1984",0.15
"Jan 5, 1985",0.127
"Apr 4, 1985",0.165
"Apr 20, 1985",0.208
"Jul 25, 1985",0.331
"Aug 10, 1985",
"Aug 17, 1985",0.423
"Aug 26, 1985",0.43
"Sep 11, 1985",
"Sep 27, 1985",0.315
"Oct 13, 1985",0.292
"Oct 20, 1985",0.289
"Oct 29, 1985",0.256
"Nov 14, 1985",0.212
"Nov 21, 1985",0.209
"Dec 7, 1985",0.152
"Jan 8, 1986",0.13
"Jan 17, 1986",0.118
"Jan 24, 1986",0.132
"Feb 2, 1986",0.12
"Feb 18, 1986",0.127
"Feb 25, 1986",0.136
"Mar 13, 1986",0.157
"Mar 22, 1986",0.142
"Apr 7, 1986",0.171
"Apr 23, 1986",0.201
"May 25, 1986",
"Jun 10, 1986",0.208
"Jun 26, 1986",0.189
"Jul 12, 1986",0.29
"Jul 28, 1986",
"Aug 13, 1986",0.363
"Sep 14, 1986",0.389
"Oct 16, 1986",
"Nov 1, 1986",0.188
"Nov 17, 1986",
"Nov 24, 1986",0.171
"Dec 10, 1986",
"Dec 19, 1986",0.123
"Dec 26, 1986",0.121
"Jan 4, 1987",0.093
"Jan 11, 1987",0.098
"Jan 20, 1987",
"Feb 5, 1987",0.096
"Feb 28, 1987",0.093
"Mar 25, 1987",
"Apr 1, 1987",0.106
"Apr 10, 1987",0.108
"Apr 17, 1987",0.124
"Apr 26, 1987",0.146
"May 3, 1987",0.165
"May 12, 1987",0.177
"May 19, 1987",0.158
"May 28, 1987",0.171
"Jun 4, 1987",0.185
"Jun 13, 1987",0.172
"Jun 20, 1987",
"Jun 29, 1987",0.162
"Jul 6, 1987",0.164
"Jul 15, 1987",
"Jul 31, 1987",0.18
"Aug 7, 1987",
"Aug 16, 1987",0.288
"Aug 23, 1987",0.31
"Sep 1, 1987",0.321
"Sep 8, 1987",0.311
"Sep 24, 1987",0.286
"Oct 3, 1987",0.286
"Oct 10, 1987",0.237
"Oct 19, 1987",0.228
"Oct 26, 1987",0.21
"Mar 18, 1988",0.105
"Mar 27, 1988",0.096
"Apr 3, 1988",0.117
"Apr 12, 1988",0.106
"Apr 19, 1988",0.145
"May 5, 1988",0.182
"May 14, 1988",0.164
"May 21, 1988",0.17
"May 30, 1988",0.16
"Jun 6, 1988",0.155
"Jun 15, 1988",0.14
"Jun 22, 1988",0.156
"Jul 1, 1988",0.149
"Jul 8, 1988",0.195
"Jul 17, 1988",0.227
"Jul 24, 1988",0.303
"Aug 2, 1988",0.35
"Aug 9, 1988",0.418
"Aug 18, 1988",0.433
"Aug 25, 1988",0.465
"Sep 3, 1988",0.491
"Sep 10, 1988",0.39
"Sep 19, 1988",0.417
"Sep 26, 1988",0.411
"Oct 5, 1988",0.308
"Oct 12, 1988",0.298
"Oct 21, 1988",
"Oct 28, 1988",0.245
"Mar 21, 1989",0.117
"Apr 15, 1989",0.131
"May 1, 1989",0.129
"May 17, 1989",
"Jun 2, 1989",
"Jun 18, 1989",0.116
"Jul 4, 1989",0.128
"Jul 20, 1989",0.143
"Aug 21, 1989",0.333
"Sep 6, 1989",0.299
"Sep 13, 1989",0.303
"Sep 22, 1989",0.246
"Oct 8, 1989",0.222
"Oct 24, 1989",0.221
"Mar 17, 1990",0.12
"Apr 2, 1990",
"Apr 9, 1990",0.13
"Apr 18, 1990",0.125
"Apr 25, 1990",0.114
"May 4, 1990",0.129
"May 27, 1990",0.129
"Jun 5, 1990",0.124
"Jun 12, 1990",0.168
"Jun 21, 1990",0.156
"Jul 7, 1990",
"Aug 15, 1990",0.432
"Aug 24, 1990",0.468
"Aug 31, 1990",0.373
"Sep 9, 1990",0.413
"Oct 2, 1990",
"Oct 11, 1990",0.253
"Oct 27, 1990",0.189
"Mar 20, 1991",0.13
"Mar 27, 1991",0.131
"Apr 5, 1991",0.117
"Apr 12, 1991",0.148
"Apr 21, 1991",0.164
"Apr 28, 1991",0.183
"May 7, 1991",0.162
"May 14, 1991",0.182
"May 23, 1991",0.167
"Jun 8, 1991",0.162
"Jun 15, 1991",0.167
"Jun 24, 1991",0.158
"Jul 26, 1991",0.152
"Aug 11, 1991",0.215
"Aug 18, 1991",0.245
"Aug 27, 1991",
"Sep 12, 1991",
"Sep 28, 1991",0.256
"Oct 5, 1991",
"Oct 14, 1991",0.21
"Oct 30, 1991",
"Mar 22, 1992",
"Apr 23, 1992",
"May 9, 1992",0.232
"May 25, 1992",
"Jun 10, 1992",0.239
"Jun 26, 1992",0.199
"Jul 12, 1992",0.285
"Aug 13, 1992",
"Sep 14, 1992",0.319
"Sep 30, 1992",0.301
"Oct 7, 1992",0.258
"Oct 16, 1992",0.207
"Nov 1, 1992",0.17
"Nov 17, 1992",0.153
"Nov 24, 1992",0.163
"Dec 26, 1992",0.109
"Jan 4, 1993",0.072
"Jan 11, 1993",
"Jan 20, 1993",0.107
"Feb 5, 1993",0.103
"Feb 12, 1993",0.114
"Feb 21, 1993",0.114
"Feb 28, 1993",
"Mar 9, 1993",0.116
"Mar 16, 1993",0.156
"Mar 25, 1993",0.163
"Apr 1, 1993",0.177
"Apr 10, 1993",0.175
"Apr 17, 1993",0.181
"Apr 26, 1993",0.171
"May 3, 1993",0.17
"May 12, 1993",
"May 19, 1993",0.186
"May 28, 1993",
"Jun 4, 1993",0.178
"Jun 13, 1993",0.163
"Jun 20, 1993",0.163
"Jun 29, 1993",0.153
"Jul 6, 1993",0.175
"Jul 22, 1993",0.302
"Jul 31, 1993",0.322
"Aug 7, 1993",
"Aug 16, 1993",0.333
"Aug 23, 1993",0.392
"Sep 1, 1993",0.447
"Sep 8, 1993",0.455
"Sep 17, 1993",0.401
"Sep 24, 1993",0.315
"Oct 3, 1993",0.263
"Oct 10, 1993",0.281
"Oct 19, 1993",
"Oct 26, 1993",0.188
"Nov 4, 1993",
"Nov 20, 1993",0.155
"Nov 27, 1993",0.142
"Dec 6, 1993",0.126
"Dec 13, 1993",0.126
"Dec 22, 1993",0.127
"Dec 29, 1993",
"Jan 7, 1994",0.09
"Jan 14, 1994",
"Jan 23, 1994",
"Jan 30, 1994",0.118
"Feb 24, 1994",0.087
"Mar 3, 1994",
"Mar 12, 1994",
"Mar 28, 1994",0.104
"Apr 13, 1994",
"Apr 29, 1994",0.12
"May 15, 1994",0.126
"May 31, 1994",0.113
"Jun 16, 1994",0.134
"Jul 2, 1994",0.142
"Jul 18, 1994",0.182
"Aug 3, 1994",0.178
"Aug 19, 1994",
"Sep 4, 1994",
"Sep 20, 1994",0.377
"Oct 22, 1994",0.242
"Oct 29, 1994",0.24
"Nov 7, 1994",
"Nov 14, 1994",0.213
"Nov 23, 1994",0.151
"Nov 30, 1994",0.147
"Dec 9, 1994",0.137
"Dec 16, 1994",0.129
"Jan 1, 1995",
"Jan 10, 1995",
"Feb 2, 1995",0.154
"Feb 11, 1995",0.159
"Feb 18, 1995",0.161
"Feb 27, 1995",0.171
"Mar 15, 1995",0.193
"Mar 22, 1995",0.228
"Mar 31, 1995",0.219
"Apr 7, 1995",0.243
"Apr 16, 1995",0.178
"Apr 23, 1995",0.224
"May 2, 1995",0.207
"May 9, 1995",0.209
"May 18, 1995",0.209
"May 25, 1995",0.199
"Jun 3, 1995",0.184
"Jun 10, 1995",0.194
"Jun 19, 1995",0.167
"Jul 5, 1995",0.162
"Jul 21, 1995",0.228
"Aug 6, 1995",0.306
"Aug 22, 1995",0.492
"Sep 7, 1995",0.472
"Sep 23, 1995",0.501
"Oct 9, 1995",0.343
"Oct 25, 1995",0.234
"Nov 1, 1995",
"Nov 10, 1995",0.206
"Nov 26, 1995",
"Dec 3, 1995",0.161
"Dec 12, 1995",0.169
"Dec 19, 1995",0.172
"Jan 4, 1996",0.158
"Jan 13, 1996",0.126
"Jan 20, 1996",0.141
"Jan 29, 1996",0.153
"Feb 5, 1996",0.115
"Feb 14, 1996",0.12
"Mar 1, 1996",0.126
"Mar 8, 1996",0.137
"Mar 17, 1996",0.137
"Mar 24, 1996",0.141
"Apr 2, 1996",0.14
"Apr 9, 1996",0.136
"Apr 18, 1996",0.151
"May 4, 1996",0.135
"May 11, 1996",0.118
"May 20, 1996",0.126
"May 27, 1996",0.128
"Jun 5, 1996",0.128
"Jun 12, 1996",
"Jun 21, 1996",0.13
"Jun 28, 1996",0.121
"Jul 7, 1996",0.17
"Jul 23, 1996",0.353
"Jul 30, 1996",0.4
"Aug 8, 1996",
"Aug 15, 1996",0.384
"Aug 24, 1996",0.483
"Aug 31, 1996",0.455
"Sep 16, 1996",
"Sep 25, 1996",
"Oct 2, 1996",0.348
"Oct 11, 1996",0.272
"Oct 18, 1996",0.242
"Nov 12, 1996",0.17
"Nov 19, 1996",0.208
"Nov 28, 1996",
"Dec 5, 1996",0.158
"Dec 14, 1996",0.175
"Dec 21, 1996",0.139
"Dec 30, 1996",0.117
"Jan 15, 1997",0.113
"Jan 22, 1997",
"Jan 31, 1997",0.138
"Feb 7, 1997",0.127
"Feb 16, 1997",
"Feb 23, 1997",
"Mar 4, 1997",0.121
"Mar 11, 1997",0.13
"Mar 20, 1997",0.131
"Mar 27, 1997",0.134
"Apr 5, 1997",
"Apr 12, 1997",0.147
"Apr 21, 1997",0.162
"Apr 28, 1997",0.133
"May 7, 1997",0.129
"May 14, 1997",0.154
"May 23, 1997",0.162
"Jun 8, 1997",0.147
"Jun 15, 1997",0.176
"Jun 24, 1997",0.148
"Jul 17, 1997",0.151
"Jul 26, 1997",
"Aug 2, 1997",0.249
"Aug 18, 1997",0.329
"Aug 27, 1997",0.403
"Sep 3, 1997",0.431
"Sep 12, 1997",0.509
"Sep 19, 1997",0.457
"Sep 28, 1997",0.37
"Oct 5, 1997",0.347
"Oct 14, 1997",0.252
"Oct 21, 1997",0.246
"Nov 22, 1997",0.162
"Dec 1, 1997",
"Dec 8, 1997",
"Dec 17, 1997",0.133
"Dec 24, 1997",0.118
"Jan 2, 1998",0.115
"Jan 9, 1998",0.117
"Jan 18, 1998",0.116
"Feb 3, 1998",0.094
"Feb 10, 1998",0.096
"Feb 19, 1998",0.086
"Feb 26, 1998",0.126
"Mar 7, 1998",
"Mar 23, 1998",0.104
"Apr 8, 1998",0.126
"Apr 15, 1998",
"Apr 24, 1998",0.155
"May 1, 1998",0.19
"May 10, 1998",0.181
"May 17, 1998",
"May 26, 1998",0.192
"Jun 2, 1998",0.167
"Jun 11, 1998",0.176
"Jun 18, 1998",0.168
"Jun 27, 1998",0.15
"Jul 4, 1998",0.161
"Jul 13, 1998",
"Jul 20, 1998",
"Jul 29, 1998",
"Aug 5, 1998",0.276
"Aug 14, 1998",0.334
"Aug 21, 1998",
"Aug 30, 1998",0.323
"Sep 6, 1998",0.332
"Sep 22, 1998",0.251
"Oct 1, 1998",0.214
"Oct 8, 1998",0.191
"Oct 24, 1998",0.197
"Nov 2, 1998",0.167
"Nov 18, 1998",0.162
"Nov 25, 1998",0.151
"Dec 4, 1998",0.145
"Dec 11, 1998",0.114
"Dec 20, 1998",0.102
"Dec 27, 1998",0.118
"Jan 5, 1999",0.112
"Jan 12, 1999",0.115
"Jan 21, 1999",0.092
"Jan 28, 1999",
"Feb 6, 1999",0.131
"Feb 22, 1999",
"Mar 10, 1999",
"Mar 17, 1999",0.133
"Mar 26, 1999",0.099
"Apr 11, 1999",0.103
"Apr 27, 1999",0.127
"May 13, 1999",0.111
"May 29, 1999",0.113
"Jun 5, 1999",0.104
"Jun 14, 1999",0.118
"Jun 21, 1999",0.133
"Jun 30, 1999",0.124
"Jul 7, 1999",
"Jul 16, 1999",0.215
"Aug 1, 1999",
"Aug 17, 1999",0.447
"Sep 2, 1999",
"Sep 9, 1999",0.361
"Sep 18, 1999",0.304
"Sep 25, 1999",0.28
"Oct 4, 1999",0.216
"Nov 5, 1999",0.178
"Nov 12, 1999",0.176
"Nov 21, 1999",0.157
"Nov 28, 1999",0.169
"Dec 23, 1999",0.148
"Jan 8, 2000",0.152
"Jan 24, 2000",0.136
"Feb 9, 2000",0.155
"Mar 3, 2000",0.155
"Mar 12, 2000",0.147
"Mar 28, 2000",0.145
"Apr 4, 2000",0.152
"Apr 13, 2000",0.137
"Apr 20, 2000",
"May 15, 2000",0.101
"May 22, 2000",0.137
"May 31, 2000",0.125
"Jun 7, 2000",0.151
"Jun 16, 2000",0.148
"Jun 23, 2000",0.165
"Jul 2, 2000",0.255
"Jul 9, 2000",0.296
"Jul 18, 2000",
"Jul 25, 2000",0.24
"Aug 3, 2000",0.247
"Aug 10, 2000",
"Aug 19, 2000",0.306
"Aug 26, 2000",0.45
"Sep 4, 2000",0.411
"Sep 27, 2000",0.317
"Oct 6, 2000",0.251
"Oct 13, 2000",0.265
"Nov 14, 2000",0.224
"Nov 23, 2000",0.191
"Nov 30, 2000",0.209
"Dec 16, 2000",
"Dec 25, 2000",0.201
"Jan 10, 2001",0.201
"Jan 26, 2001",0.166
"Feb 11, 2001",0.157
"Feb 18, 2001",0.168
"Mar 15, 2001",0.179
"Mar 22, 2001",0.19
"Mar 31, 2001",0.206
"Apr 7, 2001",0.274
"Apr 16, 2001",0.242
"Apr 23, 2001",0.279
"May 2, 2001",0.282
"May 9, 2001",0.301
"May 18, 2001",
"May 25, 2001",0.267
"Jun 19, 2001",
"Jul 5, 2001",
"Aug 6, 2001",
"Aug 22, 2001",0.411
"Sep 7, 2001",0.3
"Sep 23, 2001",
"Sep 30, 2001",
"Oct 9, 2001",0.229
"Oct 25, 2001",0.194
"Nov 1, 2001",0.198
"Nov 10, 2001",0.18
"Nov 17, 2001",0.21
"Nov 26, 2001",
"Dec 12, 2001",
"Dec 28, 2001",0.139
"Jan 4, 2002",0.162
"Jan 13, 2002",0.133
"Feb 14, 2002",0.114
"Feb 21, 2002",0.144
"Mar 2, 2002",0.116
"Mar 9, 2002",
"May 5, 2002",0.096
"May 12, 2002",0.115
"May 21, 2002",0.109
"Jun 6, 2002",0.119
"Jun 13, 2002",
"Jun 22, 2002",0.126
"Jun 29, 2002",1
"Jul 8, 2002",
"Jul 24, 2002",0.226
"Aug 9, 2002",0.528
"Aug 16, 2002",0.47
"Aug 25, 2002",0.48
"Sep 1, 2002",
"Sep 10, 2002",0.354
"Sep 17, 2002",
"Sep 26, 2002",0.277
"Oct 3, 2002",0.259
"Oct 12, 2002",0.162
"Oct 19, 2002",0.226
"Oct 28, 2002",0.22
"Nov 4, 2002",0.194
