doy,NDVI for pixel Lon:-72.02 Lat:-9.16
1,0.861
2,
3,
9,
10,
12,0.873
14,
16,0.73
20,
22,
25,
26,
29,
31,
35,
41,
44,0.509
47,0.758
48,0.844
51,
55,
56,0.905
57,
59,
60,
61,0.702
64,
65,
70,
71,
72,
73,
74,0.86
76,
78,
79,
81,
87,0.718
91,
92,0.782
95,0.78
97,
98,0.822
99,0.88
100,
103,
105,
106,
109,
110,
111,0.849
112,
113,0.842
114,
115,
118,0.818
121,
122,0.844
123,
124,0.817
125,
126,0.818
127,0.866
128,
130,
131,0.843
133,0.8
134,0.835
135,0.867
137,
138,
140,0.86
142,
143,0.834
144,0.81
147,0.826
148,
149,
150,
151,0.859
152,0.871
154,0.839
155,0.859
156,0.838
157,
159,
161,0.85
162,
163,
164,
165,0.846
167,
168,0.819
169,0.858
170,
171,
172,0.827
173,0.72
174,0.819
175,0.84
176,0.822
178,0.844
179,
180,0.827
181,
182,0.856
183,0.874
184,0.794
185,0.838
186,0.849
188,0.828
189,0.872
190,0.852
191,0.823
192,0.825
193,
194,
195,0.804
196,0.845
197,0.804
198,0.86
199,0.838
200,0.834
201,
202,0.867
203,0.85
204,0.842
205,
206,
207,0.832
208,0.824
209,0.841
210,0.858
211,0.851
212,0.866
213,0.814
214,
215,0.851
216,
217,0.832
218,0.792
219,0.806
220,0.831
221,
222,0.79
223,0.782
224,0.815
225,0.814
226,
227,0.795
228,0.311
229,
230,
231,0.829
232,
233,0.766
234,0.836
235,0.806
236,0.79
237,0.814
238,0.787
239,
240,0.826
241,
242,0.892
243,
244,
245,0.745
246,
247,0.771
248,0.785
249,0.483
250,0.823
251,0.828
252,
253,0.859
254,0.812
255,0.837
256,
257,0.785
258,0.784
259,0.796
260,0.845
261,
262,
263,0.844
264,
265,
266,0.839
267,0.791
268,
269,
271,
272,
273,
274,
275,0.838
276,0.829
278,
279,
281,0.848
282,0.85
283,0.746
284,0.85
285,
286,
287,
288,0.845
290,0.828
291,0.847
292,0.869
293,
294,
295,0.846
296,
297,
298,
299,
300,0.738
302,
303,0.85
304,
305,
307,
308,
309,0.86
310,
311,
313,
314,0.85
315,0.85
318,
319,0.847
320,
322,
323,
324,
327,
328,
332,
337,
340,
341,0.887
342,
348,
350,
356,0.864
357,
359,
363,
