system:time_start,NDVI for pixel Lon:22.23 Lat:-19.09
"Aug 30, 1999",0.231
"Nov 2, 1999",0.151
"Jan 5, 2000",0.496
"Apr 10, 2000",0.573
"Aug 16, 2000",
"Oct 19, 2000",0.167
"Nov 20, 2000",0.192
"Jan 7, 2001",0.464
"Feb 24, 2001",
"Mar 12, 2001",0.463
"Mar 28, 2001",0.517
"Apr 29, 2001",
"Jul 18, 2001",0.265
"Aug 3, 2001",0.302
"Aug 19, 2001",0.25
"Sep 4, 2001",0.179
"Sep 20, 2001",0.214
"Oct 6, 2001",0.221
"Oct 22, 2001",
"Nov 23, 2001",0.353
"Dec 9, 2001",
"Dec 25, 2001",0.465
"Jan 10, 2002",0.354
"Jan 26, 2002",0.451
"Feb 11, 2002",0.447
"Feb 27, 2002",0.427
"Mar 31, 2002",0.404
"May 2, 2002",0.413
"May 18, 2002",
"Jun 3, 2002",0.298
"Jun 19, 2002",0.257
"Jul 5, 2002",0.25
"Jul 21, 2002",0.261
"Aug 6, 2002",0.264
"Aug 22, 2002",0.269
"Sep 7, 2002",0.194
"Sep 23, 2002",
"Oct 25, 2002",0.205
"Dec 28, 2002",0.395
"Jan 13, 2003",0.356
"Feb 14, 2003",
"Mar 2, 2003",0.409
"Mar 18, 2003",0.387
"Apr 3, 2003",
"Apr 19, 2003",0.4
"Sep 26, 2003",0.207
"Dec 15, 2003",0.293
"Dec 31, 2003",
"Jan 16, 2004",
"Feb 1, 2004",0.395
"May 7, 2004",0.477
"May 23, 2004",0.46
"Jun 8, 2004",
"Jun 24, 2004",0.434
"Jul 10, 2004",0.314
"Sep 12, 2004",0.213
"Oct 14, 2004",0.247
"Oct 30, 2004",
"Dec 1, 2004",
"Jan 2, 2005",0.488
"Feb 3, 2005",
"Mar 7, 2005",0.369
"Apr 24, 2005",0.363
"May 10, 2005",0.438
"May 26, 2005",0.404
"Jun 11, 2005",0.335
"Oct 1, 2005",0.22
"Oct 17, 2005",0.205
"Nov 2, 2005",0.184
"Nov 18, 2005",
"Dec 20, 2005",
"Jan 21, 2006",0.511
"Mar 26, 2006",0.656
"May 13, 2006",0.621
"May 29, 2006",
"Sep 2, 2006",0.336
"Sep 18, 2006",0.261
"Nov 21, 2006",0.343
"Dec 23, 2006",0.521
"Feb 25, 2007",
"Mar 13, 2007",0.462
"Apr 14, 2007",0.411
"Apr 30, 2007",0.408
"May 16, 2007",0.449
"Jun 17, 2007",0.412
"Jul 19, 2007",0.273
"Aug 4, 2007",0.324
"Aug 20, 2007",0.294
"Sep 5, 2007",0.261
"Dec 26, 2007",0.4
"Feb 12, 2008",
"Feb 28, 2008",
"Mar 31, 2008",0.644
"Apr 16, 2008",
"Aug 22, 2008",0.322
"Sep 7, 2008",0.221
"Sep 23, 2008",0.18
"Oct 9, 2008",0.182
"Oct 25, 2008",0.17
"Nov 26, 2008",0.285
"Dec 12, 2008",0.395
"Jan 29, 2009",
"Feb 14, 2009",0.55
"Mar 2, 2009",
"Mar 18, 2009",0.565
"Apr 19, 2009",
"May 5, 2009",0.454
"Nov 13, 2009",0.295
"Dec 15, 2009",
"Jan 16, 2010",0.401
"Feb 1, 2010",
"Mar 21, 2010",0.541
"Apr 22, 2010",0.527
"Oct 15, 2010",
"Oct 31, 2010",0.219
"Feb 20, 2011",
"May 11, 2011",0.532
"May 27, 2011",0.532
"Jun 12, 2011",0.486
"Jul 30, 2011",0.297
"Aug 15, 2011",0.21
"Oct 18, 2011",
"Jan 6, 2012",0.537
"Mar 26, 2012",
"Jun 14, 2012",0.326
"Jun 30, 2012",0.368
"Oct 4, 2012",
"Nov 5, 2012",0.165
"Dec 7, 2012",0.241
"Jan 24, 2013",0.533
"Feb 9, 2013",0.541
"Feb 25, 2013",0.43
"Mar 13, 2013",0.477
"Apr 30, 2013",0.407
"May 16, 2013",0.413
"Jun 17, 2013",0.36
"Jul 3, 2013",0.33
"Oct 7, 2013",
"Oct 23, 2013",0.282
"Dec 26, 2013",
"Jan 11, 2014",0.504
"Feb 12, 2014",0.563
"Feb 28, 2014",0.624
"Mar 16, 2014",0.595
"Apr 1, 2014",0.611
"Apr 17, 2014",0.613
"May 3, 2014",0.625
"May 19, 2014",0.517
"Jun 4, 2014",0.389
"Jun 20, 2014",0.443
"Jul 6, 2014",
"Sep 24, 2014",0.242
"Oct 10, 2014",
"Oct 26, 2014",
"Dec 29, 2014",0.545
"Jan 14, 2015",0.54
"Feb 15, 2015",0.477
"Mar 19, 2015",0.447
"Apr 20, 2015",0.467
"May 6, 2015",0.478
"Jun 7, 2015",
"Jul 9, 2015",0.449
"Jul 25, 2015",0.295
"Aug 10, 2015",0.379
"Sep 11, 2015",0.212
"Sep 27, 2015",0.266
"Oct 13, 2015",
"Oct 29, 2015",0.286
"Nov 14, 2015",0.251
"Nov 30, 2015",0.266
"Dec 16, 2015",0.395
"Jan 1, 2016",0.387
"Feb 2, 2016",
"Feb 18, 2016",0.523
"Mar 21, 2016",0.581
"Apr 22, 2016",0.556
"May 8, 2016",0.555
"May 24, 2016",0.388
"Jun 25, 2016",0.426
"Jul 11, 2016",0.305
"Jul 27, 2016",
"Aug 28, 2016",0.291
"Sep 29, 2016",0.231
"Oct 15, 2016",0.259
"Oct 31, 2016",0.238
"Nov 16, 2016",0.207
"Dec 2, 2016",0.426
"Dec 18, 2016",
"Feb 4, 2017",
"Feb 20, 2017",
"Mar 24, 2017",0.688
"Apr 9, 2017",0.467
"May 11, 2017",0.498
"May 27, 2017",0.431
"Jun 12, 2017",0.454
"Jun 28, 2017",0.555
"Jul 14, 2017",
"Jul 30, 2017",
"Aug 15, 2017",0.272
"Aug 31, 2017",
"Sep 16, 2017",0.218
"Oct 2, 2017",0.202
"Oct 18, 2017",0.201
"Nov 3, 2017",
"Nov 19, 2017",0.277
"Dec 21, 2017",0.312
"Jan 6, 2018",0.354
"Jan 22, 2018",
"Mar 11, 2018",
"Mar 27, 2018",0.553
"Apr 12, 2018",0.511
"Apr 28, 2018",0.501
"May 14, 2018",0.413
"May 30, 2018",0.379
"Jul 1, 2018",
"Jul 17, 2018",0.425
"Aug 2, 2018",0.35
