doy,NDVI for pixel Lon:-110.55 Lat:31.33
1,0.113
2,0.14
3,0.138
4,
5,0.126
6,0.112
7,0.144
8,0.137
9,
10,
11,
12,0.112
13,0.153
14,0.127
15,0.122
16,0.158
17,0.113
18,0.115
19,0.147
20,0.155
21,0.139
22,0.11
23,0.127
24,0.126
25,0.149
26,0.13
27,
28,0.1
29,0.135
30,0.103
31,0.134
32,0.156
33,0.13
34,0.098
35,0.161
36,
37,0.126
38,0.126
39,
40,0.109
41,0.135
42,
43,0.121
44,0.107
45,0.15
46,0.105
47,0.114
48,0.131
49,
50,0.119
51,0.104
52,
53,0.124
54,0.135
55,
56,
57,0.172
58,0.129
60,0.122
61,0.182
62,0.109
63,0.12
64,0.14
65,
66,0.116
67,0.102
68,
69,0.121
70,0.125
71,0.113
72,0.127
73,0.183
74,
75,0.117
76,0.114
77,0.139
78,0.113
79,0.129
80,0.178
81,0.112
82,0.192
83,0.149
84,
85,0.098
86,0.139
87,0.124
88,0.136
89,0.215
90,0.135
91,
92,0.126
93,0.172
94,0.158
95,0.133
96,0.175
97,0.123
98,0.222
99,0.122
100,
101,0.121
102,0.137
103,0.112
104,0.138
105,0.289
106,0.151
107,0.177
108,0.108
109,0.158
110,0.129
111,0.127
112,0.166
113,0.13
114,0.168
115,0.148
116,0.182
117,0.131
118,
119,0.119
120,0.125
121,0.248
122,
123,0.185
124,
125,0.14
126,0.117
127,0.11
128,0.159
129,0.13
130,0.23
131,0.128
132,
133,0.138
134,0.139
135,0.113
136,0.121
137,0.282
138,0.165
139,0.179
140,0.133
141,0.147
142,0.095
143,0.137
144,0.107
145,0.129
146,0.204
147,0.134
148,
149,0.124
150,0.131
151,0.104
152,0.168
153,0.204
154,
155,0.151
156,0.116
157,0.125
158,
159,0.138
160,0.129
161,0.131
162,0.156
163,0.13
164,0.141
165,0.117
166,
167,0.121
168,0.124
169,0.184
170,0.141
171,0.12
172,0.12
173,0.136
174,0.143
175,0.113
176,0.146
177,
178,0.185
179,0.116
180,0.144
181,0.115
182,0.18
183,0.147
184,0.145
185,0.213
186,
187,
188,0.108
189,0.162
190,0.129
191,
192,0.2
193,0.151
194,0.147
195,0.254
196,
197,0.217
198,0.317
199,0.2
200,0.224
201,0.268
202,
203,0.247
204,0.273
205,0.34
206,0.139
207,0.202
208,0.331
209,
210,0.405
211,0.332
212,0.402
213,0.266
214,0.487
215,0.184
216,0.382
217,0.449
219,0.408
220,0.447
221,0.467
222,
223,
224,
225,0.329
226,0.398
227,0.419
228,0.469
229,0.401
230,0.554
231,0.278
232,0.464
233,0.484
234,
235,0.382
236,0.466
237,0.483
238,0.443
239,0.403
240,0.544
241,
242,0.41
243,0.445
244,0.471
245,0.362
246,
247,0.412
248,
249,0.347
250,
251,
252,
253,0.444
254,0.289
255,0.353
256,0.445
257,
258,
259,0.455
260,0.386
261,0.328
262,0.371
263,0.342
264,0.24
266,0.346
267,0.289
268,0.289
269,0.334
270,
271,0.226
272,0.277
273,
274,0.397
275,0.271
276,
277,0.218
278,0.375
279,
280,0.305
281,
282,0.257
283,0.247
284,0.206
285,0.279
286,0.168
287,0.195
288,0.214
289,
290,0.216
291,0.316
292,0.166
293,0.185
294,0.243
295,0.23
296,0.179
297,0.214
298,0.236
299,0.21
300,0.239
301,0.167
302,0.173
303,0.161
304,0.218
305,0.178
306,0.166
307,0.178
308,0.189
309,0.191
310,0.239
311,
312,0.145
313,0.202
314,0.173
315,0.152
316,0.148
317,0.213
318,0.135
319,0.192
320,0.158
321,
322,0.176
323,0.177
324,0.153
325,0.14
326,0.178
327,0.178
328,0.13
329,0.124
330,0.203
331,0.165
332,
333,0.169
334,0.13
335,
336,0.127
337,
338,0.181
339,0.176
340,0.134
341,0.145
342,
343,
344,0.129
345,
346,
347,0.144
348,0.115
349,0.119
350,
351,0.164
352,0.13
353,0.117
354,0.151
355,0.164
356,
357,0.098
358,0.2
359,0.171
360,0.126
361,0.145
362,
363,0.112
364,0.099
365,0.127
