doy,NDVI for pixel Lon:-110.54 Lat:31.34
1,0.088
2,0.166
3,0.211
4,
5,0.15
6,0.15
7,0.186
8,0.143
9,0.173
10,
11,0.119
12,0.146
13,0.143
14,
15,0.14
16,0.159
17,0.131
18,0.184
19,0.124
20,0.12
21,0.131
22,0.119
23,0.151
24,0.133
25,0.186
26,
27,
28,0.117
29,0.128
30,0.113
31,0.166
32,0.15
33,
34,0.146
35,0.166
36,0.129
37,0.107
38,0.144
39,0.147
40,0.136
41,0.157
42,
43,
44,0.12
45,0.116
46,
47,0.169
48,0.166
49,0.113
50,0.136
51,
52,
53,0.128
54,0.068
55,0.117
56,0.15
57,
58,0.142
60,0.131
61,0.14
62,0.095
63,0.154
64,0.177
65,
66,0.127
67,0.164
68,0.154
69,0.125
70,0.126
71,0.157
72,0.113
73,0.185
74,
75,0.104
76,0.11
77,
78,0.104
79,0.154
80,0.131
81,
82,0.209
83,0.161
84,
85,0.103
86,0.123
87,0.142
88,0.128
89,0.248
90,0.155
91,0.142
92,0.141
93,0.161
94,0.096
95,0.149
96,0.168
97,0.108
98,0.258
99,0.159
100,
101,0.123
102,0.143
103,0.133
104,0.133
105,0.256
106,0.182
107,0.127
108,0.124
109,0.16
110,0.135
111,0.178
112,0.166
113,0.12
114,0.187
115,0.165
116,0.193
117,0.139
118,0.138
119,0.154
120,0.129
121,0.263
122,0.167
123,0.158
124,0.16
125,0.151
126,0.134
127,0.151
128,0.199
129,0.114
130,0.214
131,0.161
132,
133,0.13
134,0.131
135,0.146
136,0.156
137,0.273
138,0.176
139,0.173
140,0.16
141,0.136
142,0.144
143,
144,0.158
145,0.119
146,0.242
147,0.147
148,
149,0.125
150,0.131
151,0.134
152,0.11
153,0.247
154,0.172
155,0.154
156,0.116
157,0.136
158,0.119
159,
160,0.123
161,0.129
162,0.172
163,0.142
164,0.146
165,0.128
166,0.099
167,0.134
168,0.104
169,0.211
170,0.155
171,0.158
172,0.132
173,0.14
174,0.117
175,0.12
176,0.187
177,
178,0.204
179,0.125
180,
181,0.121
182,0.153
183,0.242
184,0.143
185,
186,0.161
187,0.149
188,0.113
189,0.135
190,
191,0.216
192,0.245
193,0.145
194,0.149
195,0.325
196,0.124
197,0.208
198,
199,0.232
200,0.18
201,0.273
202,
203,
204,0.335
205,0.232
206,
207,0.19
208,0.277
209,0.339
210,
211,
212,0.389
213,0.364
214,
215,0.25
216,0.382
217,
219,0.425
220,0.549
221,0.516
222,
223,
224,0.474
225,0.439
226,0.442
227,0.453
228,0.462
229,0.501
230,0.603
231,0.462
232,0.476
233,0.437
234,0.47
235,
236,0.522
237,0.535
238,0.529
239,
240,0.499
241,0.449
242,0.416
243,0.564
244,0.561
245,0.415
246,
247,0.418
248,
249,0.315
250,0.44
251,0.262
253,0.495
254,0.48
255,
256,0.474
257,0.482
258,0.362
259,0.548
260,0.374
261,0.413
262,0.522
263,0.313
264,0.302
266,0.399
267,0.373
268,
269,0.372
270,0.365
271,0.303
272,0.28
273,
274,0.417
275,0.353
277,0.297
278,0.37
279,
280,
281,
282,0.308
283,0.263
284,0.304
285,0.247
286,0.225
287,0.276
288,0.255
289,0.218
290,0.21
291,0.285
292,0.243
293,0.206
294,0.293
295,0.311
296,0.219
297,0.226
298,
299,0.19
300,0.188
301,0.182
302,
303,
304,0.264
305,0.201
306,0.189
307,0.24
308,0.203
309,0.225
310,0.225
311,0.232
312,0.217
313,
314,0.2
315,0.195
316,0.207
317,0.245
318,0.185
319,0.199
320,0.221
321,
322,
323,0.207
324,0.187
325,0.209
326,0.216
327,0.213
328,0.172
329,0.14
330,
331,0.164
332,
333,0.192
334,
335,
336,0.208
337,
338,
339,0.154
340,0.161
341,0.169
342,
343,
344,0.117
345,0.1
346,0.204
347,
348,0.18
349,0.178
350,0.116
351,0.167
352,0.182
353,
354,0.163
355,0.176
356,0.147
357,
358,0.194
359,
360,
361,0.176
362,
363,0.103
364,0.158
365,0.131
