system:time_start,NDVI for pixel Lon:120.35 Lat:63.34
"Jul 20, 1999",0.868
"Aug 12, 1999",
"Sep 6, 1999",
"Sep 29, 1999",
"Oct 15, 1999",
"Oct 15, 1999",
"Mar 16, 2000",
"May 26, 2000",
"May 26, 2000",
"Jun 4, 2000",0.512
"Jun 11, 2000",
"Jun 13, 2000",0.694
"Jul 6, 2000",
"Jul 31, 2000",0.785
"Aug 16, 2000",0.807
"Aug 23, 2000",
"Oct 1, 2000",0.277
"Oct 17, 2000",
"Mar 10, 2001",
"Mar 10, 2001",
"Apr 20, 2001",
"May 13, 2001",0.218
"Jun 16, 2001",0.698
"Jun 23, 2001",0.759
"Jun 30, 2001",0.797
"Jun 30, 2001",0.784
"Jul 2, 2001",
"Jul 18, 2001",0.811
"Sep 2, 2001",0.557
"Sep 2, 2001",0.56
"Oct 4, 2001",
"Oct 4, 2001",
"Oct 20, 2001",0.003
"Mar 15, 2002",
"Apr 14, 2002",
"May 9, 2002",0.143
"Jun 1, 2002",
"Jun 17, 2002",
"Jun 17, 2002",
"Jun 19, 2002",0.724
"Jun 26, 2002",
"Jul 3, 2002",
"Jul 3, 2002",
"Jul 12, 2002",
"Jul 19, 2002",0.816
"Jul 19, 2002",0.812
"Jul 28, 2002",0.84
"Aug 6, 2002",
"Aug 13, 2002",0.612
"May 28, 2003",0.261
"Jul 15, 2003",0.842
"Jul 22, 2003",0.831
"Jul 22, 2003",0.822
"Jul 24, 2003",0.769
"Sep 1, 2003",0.428
"May 14, 2004",0.183
"Jun 6, 2004",
"Jun 6, 2004",
"Jun 24, 2004",
"Jul 8, 2004",0.806
"Jul 8, 2004",
"Jul 24, 2004",
"Jul 24, 2004",
"Aug 9, 2004",
"Aug 25, 2004",
"Sep 3, 2004",0.369
"Sep 12, 2004",
"Oct 5, 2004",0.285
"May 8, 2005",0.278
"May 8, 2005",0.251
"May 10, 2005",
"Jun 2, 2005",0.41
"Jun 9, 2005",0.566
"Jun 9, 2005",0.524
"Jun 11, 2005",
"Jun 27, 2005",0.818
"Jul 4, 2005",0.846
"Jul 11, 2005",
"Jul 20, 2005",
"Jul 29, 2005",0.849
"May 20, 2006",0.261
"May 29, 2006",
"Jun 14, 2006",0.605
"Jun 21, 2006",
"Jun 28, 2006",
"Jun 28, 2006",
"Jul 7, 2006",0.747
"Jul 16, 2006",0.872
"Jul 23, 2006",0.855
"Jul 30, 2006",
"Jul 30, 2006",
"Aug 15, 2006",0.463
"Aug 15, 2006",0.464
"Aug 17, 2006",0.492
"Aug 24, 2006",
"Sep 2, 2006",
"Sep 16, 2006",0.35
"Sep 25, 2006",0.296
"Mar 13, 2007",
"Mar 27, 2007",
"Mar 27, 2007",
"May 14, 2007",0.255
"May 14, 2007",0.268
"May 16, 2007",
"May 23, 2007",0.358
"Jun 8, 2007",
"Jun 15, 2007",
"Jun 15, 2007",
"Jun 17, 2007",
"Jun 24, 2007",
"Jul 1, 2007",
"Jul 1, 2007",
"Jul 3, 2007",0.83
"Jul 26, 2007",0.796
"Aug 2, 2007",0.744
"Aug 2, 2007",0.735
"Aug 4, 2007",0.723
"Aug 11, 2007",
"Jun 1, 2008",
"Jun 1, 2008",
"Jun 10, 2008",
"Jun 17, 2008",
"Jun 17, 2008",
"Jun 26, 2008",0.724
"Jul 5, 2008",0.843
"Jul 12, 2008",
"Jul 28, 2008",
"Aug 4, 2008",
"Aug 4, 2008",
"Aug 6, 2008",
"Aug 13, 2008",0.717
"Sep 21, 2008",
"Sep 21, 2008",
"Oct 7, 2008",
"Mar 25, 2009",
"Apr 10, 2009",
"Apr 26, 2009",0.082
"May 3, 2009",
"May 12, 2009",0.245
"Jun 4, 2009",
"Jun 4, 2009",
"Jun 6, 2009",0.524
"Jun 20, 2009",
"Jun 20, 2009",
"Jun 29, 2009",
"Jul 15, 2009",0.655
"Jul 22, 2009",
"Jul 24, 2009",
"Aug 16, 2009",0.701
"Aug 25, 2009",
"Sep 10, 2009",
"Sep 17, 2009",0.29
"Sep 24, 2009",0.27
"Sep 24, 2009",0.288
"Oct 10, 2009",
"Oct 19, 2009",
"May 15, 2010",
"Jun 9, 2010",0.483
"Jun 23, 2010",
"Jun 23, 2010",
"Jul 11, 2010",0.75
"Jul 18, 2010",0.754
"Aug 3, 2010",
"Aug 10, 2010",
"Aug 10, 2010",
"Aug 12, 2010",0.463
"Aug 19, 2010",0.475
"Aug 26, 2010",
"Aug 26, 2010",
"Sep 11, 2010",
"Sep 11, 2010",
"Sep 13, 2010",
"Sep 27, 2010",
"Oct 15, 2010",
"May 9, 2011",
"May 9, 2011",
"May 11, 2011",
"May 18, 2011",0.251
"May 25, 2011",
"May 25, 2011",
"May 27, 2011",
"Jun 3, 2011",0.378
"Jun 10, 2011",
"Jun 12, 2011",
"Jun 19, 2011",
"Jun 26, 2011",
"Jul 5, 2011",
"Jul 12, 2011",
"Jul 14, 2011",
"Jul 21, 2011",0.775
"Jul 28, 2011",
"Aug 6, 2011",
"Aug 13, 2011",0.795
"Aug 13, 2011",0.814
"Aug 15, 2011",0.802
"Aug 31, 2011",
"Sep 7, 2011",
"Oct 2, 2011",
"Mar 17, 2012",
"Apr 11, 2012",
"May 11, 2012",
"May 13, 2012",
"May 20, 2012",
"May 27, 2012",
"May 27, 2012",
"Jun 5, 2012",0.511
"Jun 14, 2012",0.64
"Jun 30, 2012",0.865
"Jul 7, 2012",0.858
"Jul 14, 2012",
"Jul 23, 2012",0.865
"Jul 30, 2012",
"Jul 30, 2012",
"Aug 1, 2012",
"Aug 31, 2012",
"Sep 2, 2012",
"Sep 16, 2012",0.307
"Sep 16, 2012",0.388
"Sep 18, 2012",0.374
"Sep 25, 2012",
"Oct 11, 2012",
"Oct 20, 2012",
"Mar 20, 2013",
"May 16, 2013",
"May 30, 2013",
"May 30, 2013",
"Jun 8, 2013",
"Jun 15, 2013",0.65
"Jun 15, 2013",0.682
"Jun 17, 2013",0.709
"Jul 1, 2013",
"Jul 1, 2013",
"Jul 3, 2013",
"Jul 17, 2013",
"Jul 26, 2013",0.776
"Aug 2, 2013",
"Aug 2, 2013",
"Aug 4, 2013",0.702
"Aug 11, 2013",0.588
"Aug 27, 2013",0.498
"Sep 3, 2013",
"Sep 3, 2013",
"Sep 19, 2013",
"Sep 19, 2013",
"Oct 5, 2013",
"Oct 23, 2013",
"Apr 8, 2014",
"Apr 24, 2014",
"May 10, 2014",
"May 17, 2014",
"May 19, 2014",
"May 26, 2014",
"Jun 4, 2014",
"Jun 11, 2014",0.736
"Jun 18, 2014",0.832
"Jun 18, 2014",0.778
"Jul 4, 2014",
"Jul 4, 2014",
"Jul 20, 2014",
"Jul 20, 2014",
"Aug 5, 2014",
"Aug 5, 2014",
"Aug 21, 2014",
"Aug 21, 2014",
"Sep 6, 2014",
"Sep 6, 2014",
"Sep 22, 2014",0.261
"Sep 22, 2014",
"Oct 1, 2014",
"Apr 18, 2015",
"May 6, 2015",
"May 22, 2015",
"Jun 5, 2015",
"Jun 21, 2015",
"Jun 21, 2015",
"Jun 23, 2015",0.822
"Jul 7, 2015",
"Jul 7, 2015",
"Jul 9, 2015",0.854
"Jul 16, 2015",0.82
"Aug 10, 2015",
"Aug 17, 2015",
"Aug 24, 2015",0.502
"Aug 24, 2015",0.512
"Aug 26, 2015",
"Sep 11, 2015",
"Sep 18, 2015",
"Sep 25, 2015",0.273
"Sep 25, 2015",0.275
"Sep 27, 2015",0.289
"Mar 21, 2016",
"Apr 13, 2016",
"Apr 20, 2016",
"Apr 20, 2016",
"May 8, 2016",
"May 22, 2016",
"Jun 23, 2016",
"Jun 25, 2016",
"Jul 9, 2016",
"Jul 9, 2016",
"Jul 18, 2016",
"Jul 25, 2016",
"Jul 25, 2016",
"Jul 27, 2016",
"Aug 3, 2016",0.743
"Aug 10, 2016",
"Aug 10, 2016",
"Aug 12, 2016",0.644
"Aug 19, 2016",0.491
"Aug 26, 2016",
"Aug 28, 2016",
"Sep 11, 2016",0.39
"Sep 11, 2016",0.387
"Sep 13, 2016",0.314
"Sep 20, 2016",0.178
"Mar 6, 2017",
"Apr 23, 2017",
"Apr 25, 2017",
"May 2, 2017",
"May 9, 2017",
"May 11, 2017",
"May 27, 2017",0.297
"Jun 3, 2017",
"Jun 10, 2017",
"Jun 10, 2017",
"Jun 12, 2017",
"Jun 26, 2017",
"Jun 26, 2017",
"Jun 28, 2017",0.803
"Jul 5, 2017",0.855
"Jul 12, 2017",0.748
"Jul 12, 2017",0.754
"Jul 14, 2017",0.856
"Jul 21, 2017",0.855
"Jul 28, 2017",0.793
"Jul 28, 2017",0.788
"Aug 6, 2017",0.468
"Aug 13, 2017",
"Aug 13, 2017",
"Aug 15, 2017",
"Aug 29, 2017",
"Aug 31, 2017",
"Sep 14, 2017",0.317
"Sep 14, 2017",0.306
"Mar 9, 2018",
"Mar 27, 2018",
"Apr 3, 2018",
"Apr 10, 2018",
"Apr 10, 2018",
"May 21, 2018",0.277
"May 28, 2018",
"May 28, 2018",
"May 30, 2018",
"Jun 6, 2018",0.547
"Jun 13, 2018",0.673
"Jun 13, 2018",0.783
"Jun 15, 2018",
"Jun 29, 2018",0.794
"Jun 29, 2018",0.762
"Jul 1, 2018",0.706
"Jul 15, 2018",
"Jul 17, 2018",
"Jul 31, 2018",
"Aug 2, 2018",0.716
"Aug 16, 2018",
"Aug 16, 2018",
