system:time_start,NDVI for pixel Lon:-71.96 Lat:-9.20
"Jun 11, 2013",0.877
"Jun 11, 2013",0.803
"Jun 18, 2013",
"Jun 27, 2013",0.765
"Jun 27, 2013",0.81
"Jul 20, 2013",0.632
"Jul 29, 2013",0.769
"Jul 29, 2013",0.697
"Aug 5, 2013",0.681
"Aug 14, 2013",
"Aug 14, 2013",
"Aug 21, 2013",
"Aug 30, 2013",0.757
"Aug 30, 2013",0.715
"Sep 6, 2013",0.682
"Sep 22, 2013",0.76
"Oct 1, 2013",0.722
"Oct 1, 2013",0.677
"Oct 17, 2013",
"Dec 11, 2013",
"Mar 10, 2014",0.5
"Apr 11, 2014",
"May 4, 2014",
"May 29, 2014",
"May 29, 2014",0.332
"Jun 21, 2014",0.699
"Jun 30, 2014",
"Jun 30, 2014",
"Jul 7, 2014",
"Jul 23, 2014",0.682
"Aug 1, 2014",0.708
"Aug 1, 2014",0.689
"Aug 17, 2014",0.772
"Aug 17, 2014",0.78
"Aug 24, 2014",0.661
"Sep 2, 2014",0.648
"Sep 2, 2014",0.672
"Sep 9, 2014",
"Sep 18, 2014",
"Sep 18, 2014",
"Sep 25, 2014",0.802
"Oct 20, 2014",
"Oct 27, 2014",
"Feb 16, 2015",
"Mar 13, 2015",
"Apr 14, 2015",
"Apr 21, 2015",
"May 23, 2015",0.763
"Jun 1, 2015",0.826
"Jun 1, 2015",
"Jun 8, 2015",
"Jul 3, 2015",0.732
"Jul 3, 2015",0.797
"Jul 19, 2015",0.763
"Jul 19, 2015",
"Aug 4, 2015",
"Aug 4, 2015",
"Aug 20, 2015",
"Aug 27, 2015",0.775
"Sep 5, 2015",
"Sep 5, 2015",
"Sep 12, 2015",
"Sep 21, 2015",
"Sep 21, 2015",
"Oct 7, 2015",0.716
"Oct 14, 2015",
"Oct 23, 2015",0.714
"Oct 23, 2015",0.74
"Oct 30, 2015",
"Dec 10, 2015",
"Dec 17, 2015",
"Mar 15, 2016",0.768
"May 2, 2016",0.746
"May 2, 2016",0.812
"Jun 3, 2016",0.853
"Jun 19, 2016",0.76
"Jun 19, 2016",0.82
"Jun 26, 2016",0.802
"Jul 12, 2016",0.7
"Jul 21, 2016",0.692
"Jul 21, 2016",0.728
"Jul 28, 2016",0.749
"Aug 6, 2016",0.75
"Aug 6, 2016",0.672
"Aug 13, 2016",0.646
"Aug 22, 2016",
"Aug 29, 2016",0.575
"Sep 7, 2016",0.621
"Sep 7, 2016",0.638
"Sep 14, 2016",0.626
"Sep 23, 2016",
"Sep 30, 2016",0.639
"Oct 16, 2016",
"Oct 25, 2016",0.748
"Oct 25, 2016",
"Nov 17, 2016",0.746
"Apr 3, 2017",
"Apr 3, 2017",
"May 21, 2017",
"May 28, 2017",
"Jun 6, 2017",0.726
"Jun 6, 2017",0.784
"Jun 13, 2017",0.78
"Jun 22, 2017",
"Jun 22, 2017",0.75
"Jun 29, 2017",
"Jul 8, 2017",
"Jul 8, 2017",0.775
"Jul 15, 2017",
"Jul 24, 2017",0.678
"Jul 24, 2017",0.692
"Jul 31, 2017",0.645
"Aug 16, 2017",0.615
"Aug 25, 2017",0.635
"Aug 25, 2017",0.676
"Sep 1, 2017",
"Sep 10, 2017",
"Sep 10, 2017",0.78
"Sep 17, 2017",0.704
"Sep 26, 2017",
"Oct 3, 2017",
"Oct 19, 2017",0.812
"Apr 22, 2018",0.67
"Apr 22, 2018",
"May 24, 2018",0.666
"May 24, 2018",0.784
"Jun 25, 2018",0.791
"Jun 25, 2018",
"Jul 2, 2018",0.702
"Jul 11, 2018",0.684
"Jul 11, 2018",0.719
"Jul 27, 2018",0.72
"Jul 27, 2018",0.716
"Aug 3, 2018",0.808
"Aug 12, 2018",0.699
"Aug 12, 2018",0.676
"Aug 19, 2018",0.499
"Aug 28, 2018",0.695
"Aug 28, 2018",0.687
"Sep 4, 2018",0.757
