system:time_start,NDVI for pixel Lon:-72.02 Lat:-9.16
"Jun 11, 2013",0.882
"Jun 11, 2013",0.88
"Jun 18, 2013",
"Jun 27, 2013",0.857
"Jun 27, 2013",0.767
"Jul 20, 2013",
"Jul 29, 2013",0.872
"Jul 29, 2013",0.875
"Aug 5, 2013",
"Aug 14, 2013",
"Aug 14, 2013",0.756
"Aug 21, 2013",
"Aug 30, 2013",0.852
"Aug 30, 2013",0.854
"Sep 6, 2013",0.854
"Sep 22, 2013",0.871
"Oct 1, 2013",0.859
"Oct 1, 2013",0.858
"Oct 17, 2013",
"Dec 11, 2013",0.726
"Mar 10, 2014",
"Apr 11, 2014",
"May 4, 2014",
"May 29, 2014",
"May 29, 2014",
"Jun 21, 2014",0.885
"Jun 30, 2014",
"Jun 30, 2014",
"Jul 7, 2014",
"Jul 23, 2014",0.87
"Aug 1, 2014",0.869
"Aug 1, 2014",0.868
"Aug 17, 2014",0.858
"Aug 17, 2014",0.858
"Aug 24, 2014",0.863
"Sep 2, 2014",0.863
"Sep 2, 2014",0.863
"Sep 9, 2014",
"Sep 18, 2014",
"Sep 18, 2014",
"Sep 25, 2014",0.872
"Oct 20, 2014",0.83
"Oct 27, 2014",
"Feb 16, 2015",
"Mar 13, 2015",0.884
"Apr 14, 2015",
"Apr 21, 2015",
"May 23, 2015",
"Jun 1, 2015",0.796
"Jun 1, 2015",0.819
"Jun 8, 2015",
"Jul 3, 2015",0.874
"Jul 3, 2015",0.872
"Jul 19, 2015",0.868
"Jul 19, 2015",0.868
"Aug 4, 2015",0.621
"Aug 4, 2015",
"Aug 20, 2015",
"Aug 27, 2015",0.845
"Sep 5, 2015",0.853
"Sep 5, 2015",0.856
"Sep 12, 2015",0.78
"Sep 21, 2015",
"Sep 21, 2015",
"Oct 7, 2015",0.851
"Oct 14, 2015",
"Oct 23, 2015",0.861
"Oct 23, 2015",0.859
"Oct 30, 2015",
"Dec 10, 2015",
"Dec 17, 2015",
"Mar 15, 2016",0.885
"May 2, 2016",0.882
"May 2, 2016",0.882
"Jun 3, 2016",
"Jun 19, 2016",0.864
"Jun 19, 2016",0.868
"Jun 26, 2016",0.869
"Jul 12, 2016",0.878
"Jul 21, 2016",0.862
"Jul 21, 2016",0.862
"Jul 28, 2016",0.851
"Aug 6, 2016",0.853
"Aug 6, 2016",0.847
"Aug 13, 2016",0.859
"Aug 22, 2016",
"Aug 29, 2016",0.849
"Sep 7, 2016",0.848
"Sep 7, 2016",0.852
"Sep 14, 2016",0.834
"Sep 23, 2016",
"Sep 30, 2016",0.848
"Oct 16, 2016",
"Oct 25, 2016",0.876
"Oct 25, 2016",0.876
"Nov 17, 2016",
"Apr 3, 2017",
"Apr 3, 2017",
"May 21, 2017",
"May 28, 2017",
"Jun 6, 2017",0.878
"Jun 6, 2017",0.874
"Jun 13, 2017",
"Jun 22, 2017",
"Jun 22, 2017",
"Jun 29, 2017",0.838
"Jul 8, 2017",0.877
"Jul 8, 2017",0.873
"Jul 15, 2017",0.863
"Jul 24, 2017",0.861
"Jul 24, 2017",0.859
"Jul 31, 2017",0.851
"Aug 16, 2017",0.863
"Aug 25, 2017",0.841
"Aug 25, 2017",0.844
"Sep 1, 2017",
"Sep 10, 2017",0.847
"Sep 10, 2017",0.85
"Sep 17, 2017",0.838
"Sep 26, 2017",0.844
"Oct 3, 2017",
"Oct 19, 2017",0.87
"Apr 22, 2018",0.837
"Apr 22, 2018",
"May 24, 2018",0.873
"May 24, 2018",0.871
"Jun 25, 2018",
"Jun 25, 2018",
"Jul 2, 2018",0.871
"Jul 11, 2018",0.86
"Jul 11, 2018",0.862
"Jul 27, 2018",0.86
"Jul 27, 2018",0.857
"Aug 3, 2018",0.872
"Aug 12, 2018",0.863
"Aug 12, 2018",0.863
"Aug 19, 2018",0.87
"Aug 28, 2018",0.861
"Aug 28, 2018",0.86
"Sep 4, 2018",0.86
