system:time_start,NDVI for pixel Lon:22.50 Lat:-19.10
"Apr 3, 2013",0.576
"May 24, 2013",0.637
"Jun 9, 2013",0.6
"Jun 25, 2013",0.575
"Jul 11, 2013",0.478
"Jul 27, 2013",0.506
"Aug 12, 2013",0.425
"Aug 28, 2013",0.464
"Sep 13, 2013",
"Sep 29, 2013",
"Oct 15, 2013",0.426
"Oct 31, 2013",0.482
"Nov 16, 2013",0.506
"Dec 2, 2013",
"Jan 19, 2014",0.599
"Feb 4, 2014",
"Feb 20, 2014",0.616
"Mar 8, 2014",0.756
"Mar 24, 2014",0.612
"Apr 9, 2014",
"Apr 25, 2014",0.63
"May 11, 2014",0.499
"May 27, 2014",0.591
"Jun 12, 2014",0.548
"Jun 28, 2014",0.567
"Jul 14, 2014",0.552
"Jul 30, 2014",0.507
"Aug 15, 2014",0.505
"Aug 31, 2014",0.456
"Sep 16, 2014",0.467
"Oct 2, 2014",0.462
"Oct 18, 2014",0.516
"Nov 19, 2014",0.543
"Dec 5, 2014",
"Dec 21, 2014",
"Jan 6, 2015",0.582
"Jan 22, 2015",0.571
"Feb 7, 2015",0.535
"Feb 23, 2015",0.597
"Mar 11, 2015",0.597
"Mar 27, 2015",0.653
"Apr 12, 2015",
"Apr 28, 2015",
"May 14, 2015",0.665
"May 30, 2015",
"Jun 15, 2015",0.494
"Jul 1, 2015",0.543
"Jul 17, 2015",0.484
"Aug 2, 2015",0.499
"Aug 18, 2015",0.484
"Sep 3, 2015",0.464
"Sep 19, 2015",0.456
"Oct 5, 2015",
"Oct 21, 2015",0.475
"Nov 6, 2015",0.499
"Nov 22, 2015",0.511
"Dec 8, 2015",
"Dec 24, 2015",0.527
"Jan 9, 2016",
"Jan 25, 2016",0.489
"Feb 10, 2016",0.555
"Mar 29, 2016",0.627
"Apr 14, 2016",0.589
"Apr 30, 2016",
"May 16, 2016",
"Jun 1, 2016",0.619
"Jun 17, 2016",0.612
"Jul 3, 2016",0.57
"Jul 19, 2016",0.529
"Aug 4, 2016",0.494
"Aug 20, 2016",0.474
"Sep 5, 2016",0.441
"Sep 21, 2016",0.46
"Oct 7, 2016",0.475
"Oct 23, 2016",
"Nov 8, 2016",0.49
"Dec 10, 2016",
"Dec 26, 2016",
"Jan 27, 2017",
"Feb 12, 2017",
"Mar 16, 2017",0.672
"Apr 1, 2017",0.579
"Apr 17, 2017",0.641
"May 3, 2017",0.616
"May 19, 2017",0.626
"Jun 4, 2017",
"Jun 20, 2017",0.577
"Jul 6, 2017",0.519
"Jul 22, 2017",0.484
"Aug 7, 2017",0.5
"Aug 23, 2017",0.487
"Sep 8, 2017",0.445
"Sep 24, 2017",0.448
"Oct 10, 2017",0.481
"Oct 26, 2017",
"Nov 11, 2017",0.479
"Nov 27, 2017",
"Dec 13, 2017",0.427
"Dec 29, 2017",0.42
"Jan 14, 2018",0.283
"Jan 30, 2018",
"Feb 15, 2018",0.47
"Mar 19, 2018",
"Apr 4, 2018",0.69
"Apr 20, 2018",0.645
"May 6, 2018",0.599
"May 22, 2018",0.495
"Jun 7, 2018",0.514
"Jun 23, 2018",0.457
"Jul 9, 2018",0.535
"Jul 25, 2018",0.593
"Aug 10, 2018",0.525
"Aug 26, 2018",0.504
