system:time_start,NDVI for pixel Lon:-71.96 Lat:-9.20
"Jan 14, 2016",
"Feb 13, 2016",
"Mar 14, 2016",0.672
"Apr 13, 2016",0.678
"May 3, 2016",0.624
"May 23, 2016",
"Jun 12, 2016",0.573
"Jul 2, 2016",
"Jul 22, 2016",0.628
"Aug 11, 2016",
"Aug 31, 2016",
"Sep 20, 2016",
"Oct 10, 2016",0.239
"Oct 30, 2016",0.645
"Nov 9, 2016",
"Nov 29, 2016",
"Dec 9, 2016",
"Dec 19, 2016",
"Jan 8, 2017",
"Jan 18, 2017",0.379
"Jan 28, 2017",
"Feb 17, 2017",
"Feb 27, 2017",0.594
"Mar 19, 2017",
"Apr 8, 2017",0.367
"Apr 28, 2017",
"May 18, 2017",0.4
"Jun 7, 2017",0.658
"Jun 27, 2017",0.488
"Jul 12, 2017",0.718
"Jul 17, 2017",
"Aug 1, 2017",0.556
"Aug 6, 2017",0.534
"Aug 21, 2017",
"Aug 26, 2017",
"Sep 10, 2017",0.619
"Sep 15, 2017",
"Sep 30, 2017",
"Oct 5, 2017",0.67
"Oct 20, 2017",
"Oct 25, 2017",0.664
"Nov 9, 2017",
"Nov 14, 2017",
"Nov 29, 2017",
"Dec 4, 2017",
"Dec 9, 2017",0.654
"Dec 19, 2017",
"Dec 24, 2017",
"Dec 29, 2017",
"Jan 8, 2018",
"Jan 13, 2018",
"Jan 18, 2018",
"Jan 28, 2018",
"Feb 2, 2018",
"Feb 7, 2018",0.374
"Feb 12, 2018",
"Feb 17, 2018",0.417
"Feb 22, 2018",
"Feb 27, 2018",
"Mar 4, 2018",
"Mar 9, 2018",
"Mar 14, 2018",
"Mar 19, 2018",
"Mar 24, 2018",0.615
"Mar 29, 2018",
"Apr 3, 2018",
"Apr 8, 2018",0.361
"Apr 13, 2018",
"Apr 18, 2018",0.517
"Apr 23, 2018",0.666
"Apr 28, 2018",0.719
"May 3, 2018",0.716
"May 8, 2018",0.536
"May 13, 2018",
"May 18, 2018",0.685
"May 23, 2018",0.669
"May 28, 2018",0.472
"Jun 2, 2018",0.246
"Jun 7, 2018",0.213
"Jun 12, 2018",
"Jun 17, 2018",0.63
"Jun 22, 2018",0.631
"Jun 27, 2018",0.52
"Jul 2, 2018",0.641
"Jul 7, 2018",0.324
"Jul 12, 2018",0.625
"Jul 17, 2018",
"Jul 22, 2018",0.613
"Jul 27, 2018",0.61
"Aug 1, 2018",
"Aug 6, 2018",
"Aug 11, 2018",0.616
"Aug 16, 2018",
"Aug 21, 2018",
"Aug 26, 2018",
"Aug 31, 2018",0.623
"Sep 5, 2018",0.694
"Sep 10, 2018",0.561
