system:time_start,NDVI for pixel Lon:-72.02 Lat:-9.16
"Jan 14, 2016",
"Feb 13, 2016",
"Mar 14, 2016",0.557
"Apr 13, 2016",0.455
"May 3, 2016",0.752
"May 23, 2016",
"Jun 12, 2016",
"Jul 2, 2016",
"Jul 22, 2016",0.71
"Aug 11, 2016",
"Aug 31, 2016",0.412
"Sep 20, 2016",
"Oct 10, 2016",
"Oct 30, 2016",0.785
"Nov 9, 2016",
"Nov 29, 2016",
"Dec 9, 2016",0.705
"Dec 19, 2016",
"Jan 8, 2017",
"Jan 18, 2017",
"Jan 28, 2017",
"Feb 17, 2017",
"Feb 27, 2017",0.654
"Mar 19, 2017",
"Apr 8, 2017",0.115
"Apr 28, 2017",
"May 18, 2017",
"Jun 7, 2017",0.726
"Jun 27, 2017",0.085
"Jul 12, 2017",0.71
"Jul 17, 2017",
"Aug 1, 2017",0.66
"Aug 6, 2017",0.609
"Aug 21, 2017",
"Aug 26, 2017",
"Sep 10, 2017",0.511
"Sep 15, 2017",
"Sep 30, 2017",
"Oct 5, 2017",0.397
"Oct 20, 2017",
"Oct 25, 2017",
"Nov 9, 2017",
"Nov 14, 2017",
"Nov 29, 2017",
"Dec 4, 2017",
"Dec 9, 2017",0.62
"Dec 19, 2017",
"Dec 24, 2017",0.433
"Dec 29, 2017",
"Jan 8, 2018",
"Jan 13, 2018",
"Jan 18, 2018",
"Jan 28, 2018",
"Feb 2, 2018",
"Feb 7, 2018",0.698
"Feb 12, 2018",
"Feb 17, 2018",0.709
"Feb 22, 2018",
"Feb 27, 2018",
"Mar 4, 2018",0.646
"Mar 9, 2018",
"Mar 14, 2018",
"Mar 19, 2018",
"Mar 24, 2018",0.704
"Mar 29, 2018",
"Apr 3, 2018",
"Apr 8, 2018",0.304
"Apr 13, 2018",
"Apr 18, 2018",
"Apr 23, 2018",0.627
"Apr 28, 2018",0.491
"May 3, 2018",0.636
"May 8, 2018",0.194
"May 13, 2018",
"May 18, 2018",0.724
"May 23, 2018",0.714
"May 28, 2018",0.698
"Jun 2, 2018",0.439
"Jun 7, 2018",0.711
"Jun 12, 2018",
"Jun 17, 2018",0.709
"Jun 22, 2018",
"Jun 27, 2018",0.705
"Jul 2, 2018",0.689
"Jul 7, 2018",
"Jul 12, 2018",0.711
"Jul 17, 2018",
"Jul 22, 2018",0.713
"Jul 27, 2018",0.7
"Aug 1, 2018",
"Aug 6, 2018",
"Aug 11, 2018",0.629
"Aug 16, 2018",
"Aug 21, 2018",
"Aug 26, 2018",
"Aug 31, 2018",0.655
"Sep 5, 2018",0.762
"Sep 10, 2018",0.617
