system:time_start,NDVI for pixel Lon:22.23 Lat:-19.09
"Jul 31, 2015",0.313
"Jul 31, 2015",0.318
"Aug 10, 2015",0.285
"Aug 10, 2015",0.285
"Aug 10, 2015",0.31
"Aug 30, 2015",0.231
"Aug 30, 2015",0.239
"Sep 9, 2015",0.227
"Sep 29, 2015",0.214
"Nov 28, 2015",0.124
"Nov 28, 2015",0.124
"Nov 28, 2015",
"Dec 8, 2015",
"Dec 18, 2015",
"Dec 28, 2015",
"Jan 17, 2016",
"Feb 16, 2016",
"Mar 7, 2016",
"Mar 17, 2016",
"Mar 27, 2016",
"Apr 6, 2016",
"Apr 16, 2016",0.515
"Apr 26, 2016",0.477
"May 6, 2016",0.442
"May 16, 2016",0.455
"May 26, 2016",0.416
"Jun 5, 2016",0.383
"Jun 5, 2016",0.383
"Jun 15, 2016",0.392
"Jun 25, 2016",0.361
"Jul 15, 2016",0.326
"Jul 25, 2016",0.298
"Aug 4, 2016",0.287
"Aug 14, 2016",0.249
"Aug 24, 2016",0.239
"Sep 3, 2016",0.225
"Sep 13, 2016",0.203
"Sep 23, 2016",0.21
"Oct 3, 2016",
"Oct 13, 2016",0.213
"Oct 23, 2016",0.193
"Nov 2, 2016",0.186
"Nov 12, 2016",0.219
"Nov 22, 2016",
"Dec 2, 2016",0.331
"Dec 12, 2016",
"Dec 22, 2016",
"Jan 1, 2017",
"Jan 11, 2017",
"Jan 31, 2017",
"Feb 10, 2017",0.566
"Feb 20, 2017",
"Mar 2, 2017",0.409
"Mar 12, 2017",
"Mar 22, 2017",0.54
"Apr 1, 2017",0.573
"Apr 11, 2017",0.55
"Apr 21, 2017",0.52
"May 1, 2017",0.549
"May 11, 2017",0.522
"May 21, 2017",0.509
"May 31, 2017",0.486
"Jun 10, 2017",0.472
"Jun 20, 2017",0.468
"Jun 30, 2017",0.45
"Jul 5, 2017",0.451
"Jul 10, 2017",0.392
"Jul 15, 2017",0.415
"Jul 20, 2017",0.409
"Jul 25, 2017",0.376
"Jul 30, 2017",
"Aug 4, 2017",0.206
"Aug 9, 2017",0.341
"Aug 19, 2017",0.329
"Aug 24, 2017",0.307
"Aug 29, 2017",0.254
"Sep 3, 2017",0.228
"Sep 8, 2017",0.237
"Sep 13, 2017",0.24
"Sep 18, 2017",0.207
"Sep 23, 2017",0.231
"Sep 28, 2017",0.074
"Oct 3, 2017",0.123
"Oct 8, 2017",0.085
"Oct 18, 2017",0.13
"Oct 23, 2017",0.113
"Oct 28, 2017",0.115
"Nov 2, 2017",0.115
"Nov 7, 2017",0.177
"Nov 12, 2017",
"Nov 17, 2017",0.229
"Nov 22, 2017",
"Nov 27, 2017",
"Dec 2, 2017",
"Dec 7, 2017",0.267
"Dec 12, 2017",0.277
"Dec 17, 2017",0.297
"Dec 22, 2017",
"Dec 27, 2017",
"Jan 1, 2018",0.281
"Jan 6, 2018",0.281
"Jan 11, 2018",0.252
"Jan 16, 2018",0.271
"Jan 21, 2018",0.26
"Jan 26, 2018",
"Jan 31, 2018",
"Feb 10, 2018",0.343
"Feb 15, 2018",
"Feb 20, 2018",
"Feb 25, 2018",
"Mar 2, 2018",
"Mar 7, 2018",0.417
"Mar 12, 2018",0.444
"Mar 17, 2018",0.455
"Mar 22, 2018",
"Mar 27, 2018",0.456
"Apr 1, 2018",0.501
"Apr 6, 2018",0.284
"Apr 11, 2018",0.456
"Apr 16, 2018",0.419
"Apr 21, 2018",0.439
"Apr 26, 2018",0.418
"May 1, 2018",0.419
"May 6, 2018",0.408
"May 11, 2018",0.39
"May 16, 2018",0.402
"May 21, 2018",0.372
"May 26, 2018",0.374
"May 31, 2018",0.357
"Jun 5, 2018",0.381
"Jun 10, 2018",0.373
"Jun 15, 2018",0.375
"Jun 20, 2018",0.355
"Jun 20, 2018",0.354
"Jun 25, 2018",0.342
"Jun 30, 2018",0.346
"Jul 5, 2018",
"Jul 10, 2018",0.309
"Jul 15, 2018",0.314
"Jul 20, 2018",0.3
"Jul 25, 2018",0.308
"Jul 30, 2018",0.292
"Aug 4, 2018",0.214
"Aug 9, 2018",0.228
"Aug 14, 2018",0.234
"Aug 19, 2018",0.237
"Aug 24, 2018",0.217
"Aug 29, 2018",0.222
"Sep 3, 2018",0.224
"Sep 8, 2018",0.219
"Sep 13, 2018",0.226
