system:time_start,NDVI for pixel Lon:22.50 Lat:-19.10
"Jul 31, 2015",0.36
"Jul 31, 2015",0.36
"Aug 10, 2015",0.348
"Aug 10, 2015",0.348
"Aug 10, 2015",0.344
"Aug 30, 2015",0.317
"Aug 30, 2015",0.32
"Sep 9, 2015",0.311
"Sep 29, 2015",0.317
"Nov 28, 2015",
"Nov 28, 2015",
"Nov 28, 2015",
"Dec 8, 2015",
"Dec 18, 2015",
"Dec 28, 2015",
"Jan 17, 2016",
"Feb 16, 2016",
"Mar 7, 2016",
"Mar 17, 2016",
"Mar 27, 2016",
"Apr 6, 2016",
"Apr 16, 2016",0.494
"Apr 26, 2016",0.433
"May 6, 2016",0.38
"May 16, 2016",0.454
"May 26, 2016",0.437
"Jun 5, 2016",0.438
"Jun 5, 2016",0.438
"Jun 15, 2016",0.451
"Jun 25, 2016",0.434
"Jul 15, 2016",0.424
"Jul 25, 2016",0.367
"Aug 4, 2016",0.378
"Aug 14, 2016",0.338
"Aug 24, 2016",0.34
"Sep 3, 2016",0.33
"Sep 13, 2016",0.317
"Sep 23, 2016",0.329
"Oct 3, 2016",0.325
"Oct 13, 2016",0.334
"Oct 23, 2016",0.235
"Nov 2, 2016",0.309
"Nov 12, 2016",0.342
"Nov 22, 2016",
"Dec 2, 2016",0.363
"Dec 12, 2016",
"Dec 22, 2016",
"Jan 1, 2017",
"Jan 11, 2017",
"Jan 31, 2017",
"Feb 10, 2017",0.483
"Feb 20, 2017",
"Mar 2, 2017",0.507
"Mar 12, 2017",
"Mar 22, 2017",0.175
"Apr 1, 2017",0.505
"Apr 11, 2017",0.465
"Apr 21, 2017",0.449
"May 1, 2017",0.457
"May 11, 2017",0.437
"May 21, 2017",0.438
"May 31, 2017",0.43
"Jun 10, 2017",0.392
"Jun 20, 2017",0.424
"Jun 30, 2017",0.4
"Jul 5, 2017",0.409
"Jul 10, 2017",0.369
"Jul 15, 2017",0.391
"Jul 20, 2017",0.386
"Jul 25, 2017",0.362
"Jul 30, 2017",0.382
"Aug 4, 2017",0.327
"Aug 9, 2017",0.345
"Aug 19, 2017",0.358
"Aug 24, 2017",0.352
"Aug 29, 2017",0.315
"Sep 3, 2017",0.289
"Sep 8, 2017",0.325
"Sep 13, 2017",0.321
"Sep 18, 2017",0.295
"Sep 23, 2017",0.332
"Sep 28, 2017",0.268
"Oct 3, 2017",0.327
"Oct 8, 2017",
"Oct 18, 2017",0.334
"Oct 23, 2017",0.318
"Oct 28, 2017",0.34
"Nov 2, 2017",0.253
"Nov 7, 2017",0.354
"Nov 12, 2017",0.135
"Nov 17, 2017",0.372
"Nov 22, 2017",
"Nov 27, 2017",
"Dec 2, 2017",
"Dec 7, 2017",0.111
"Dec 12, 2017",0.35
"Dec 17, 2017",0.362
"Dec 22, 2017",
"Dec 27, 2017",
"Jan 1, 2018",0.368
"Jan 6, 2018",0.146
"Jan 11, 2018",0.137
"Jan 16, 2018",0.147
"Jan 21, 2018",0.142
"Jan 26, 2018",0.157
"Jan 31, 2018",
"Feb 10, 2018",0.289
"Feb 15, 2018",0.31
"Feb 20, 2018",
"Feb 25, 2018",
"Mar 2, 2018",
"Mar 7, 2018",0.507
"Mar 12, 2018",0.53
"Mar 17, 2018",0.51
"Mar 22, 2018",
"Mar 27, 2018",0.498
"Apr 1, 2018",0.531
"Apr 6, 2018",0.214
"Apr 11, 2018",0.53
"Apr 16, 2018",0.514
"Apr 21, 2018",0.522
"Apr 26, 2018",0.511
"May 1, 2018",0.506
"May 6, 2018",0.496
"May 11, 2018",0.452
"May 16, 2018",0.455
"May 21, 2018",0.394
"May 26, 2018",0.377
"May 31, 2018",0.364
"Jun 5, 2018",0.417
"Jun 10, 2018",0.422
"Jun 15, 2018",0.425
"Jun 20, 2018",0.413
"Jun 25, 2018",0.418
"Jun 30, 2018",0.436
"Jul 5, 2018",
"Jul 10, 2018",
"Jul 15, 2018",0.452
"Jul 20, 2018",0.456
"Jul 25, 2018",0.471
"Jul 30, 2018",0.465
"Aug 4, 2018",0.347
"Aug 9, 2018",0.374
"Aug 14, 2018",0.387
"Aug 19, 2018",0.4
"Aug 24, 2018",0.382
"Aug 29, 2018",0.397
"Sep 3, 2018",0.396
"Sep 8, 2018",0.383
"Sep 13, 2018",0.399
