system:time_start,NDVI for pixel Lon:-110.55 Lat:31.33
"Jul 25, 2015",
"Jul 25, 2015",
"Aug 4, 2015",0.383
"Aug 4, 2015",0.383
"Aug 14, 2015",0.426
"Aug 14, 2015",0.426
"Oct 3, 2015",0.214
"Nov 12, 2015",
"Nov 22, 2015",0.146
"Nov 22, 2015",0.146
"Dec 22, 2015",
"Jan 21, 2016",
"Feb 20, 2016",
"Mar 21, 2016",
"Apr 20, 2016",0.141
"May 10, 2016",0.126
"May 30, 2016",0.113
"Jun 19, 2016",0.13
"Jul 9, 2016",0.248
"Jul 29, 2016",0.27
"Aug 18, 2016",0.395
"Sep 7, 2016",
"Sep 27, 2016",
"Oct 17, 2016",0.208
"Nov 6, 2016",0.164
"Nov 16, 2016",
"Nov 26, 2016",
"Dec 16, 2016",0.121
"Dec 26, 2016",0.107
"Jan 5, 2017",0.099
"Jan 25, 2017",0.111
"Feb 4, 2017",0.106
"Feb 14, 2017",
"Feb 14, 2017",
"Mar 6, 2017",0.123
"Mar 26, 2017",0.152
"Apr 15, 2017",0.143
"May 5, 2017",0.115
"May 25, 2017",
"Jun 14, 2017",
"Jun 29, 2017",0.118
"Jul 4, 2017",
"Jul 19, 2017",
"Jul 24, 2017",
"Aug 8, 2017",0.406
"Aug 13, 2017",0.411
"Sep 2, 2017",
"Sep 17, 2017",0.296
"Sep 22, 2017",0.265
"Oct 7, 2017",
"Oct 27, 2017",0.152
"Nov 1, 2017",0.161
"Nov 16, 2017",0.122
"Nov 21, 2017",
"Nov 26, 2017",0.124
"Dec 6, 2017",0.077
"Dec 11, 2017",
"Dec 16, 2017",
"Dec 26, 2017",
"Dec 31, 2017",
"Jan 5, 2018",0.109
"Jan 15, 2018",0.103
"Jan 20, 2018",0.073
"Jan 25, 2018",
"Feb 4, 2018",0.108
"Feb 9, 2018",0.103
"Feb 14, 2018",
"Feb 19, 2018",0.05
"Feb 24, 2018",
"Mar 1, 2018",
"Mar 6, 2018",
"Mar 11, 2018",0.061
"Mar 16, 2018",
"Mar 21, 2018",
"Mar 26, 2018",
"Mar 31, 2018",
"Apr 5, 2018",
"Apr 10, 2018",0.149
"Apr 15, 2018",
"Apr 20, 2018",
"Apr 25, 2018",0.128
"Apr 30, 2018",0.132
"May 5, 2018",0.125
"May 10, 2018",0.121
"May 15, 2018",0.112
"May 20, 2018",0.118
"May 25, 2018",0.11
"May 30, 2018",0.112
"Jun 4, 2018",0.106
"Jun 9, 2018",0.098
"Jun 14, 2018",0.088
"Jun 19, 2018",0.133
"Jun 24, 2018",0.116
"Jun 29, 2018",0.1
"Jul 4, 2018",0.08
"Jul 9, 2018",0.1
"Jul 14, 2018",
"Jul 19, 2018",0.182
"Jul 24, 2018",0.217
"Aug 3, 2018",0.269
"Aug 8, 2018",
"Aug 13, 2018",0.317
"Aug 18, 2018",
"Aug 23, 2018",
"Aug 28, 2018",0.357
"Sep 2, 2018",0.32
"Sep 7, 2018",0.294
"Sep 12, 2018",0.238
