system:time_start,NDVI for pixel Lon:-110.54 Lat:31.34
"Jul 25, 2015",
"Jul 25, 2015",
"Aug 4, 2015",0.399
"Aug 4, 2015",0.399
"Aug 14, 2015",0.439
"Aug 14, 2015",0.44
"Oct 3, 2015",0.241
"Nov 12, 2015",
"Nov 22, 2015",0.132
"Nov 22, 2015",0.132
"Dec 22, 2015",
"Jan 21, 2016",
"Feb 20, 2016",
"Mar 21, 2016",
"Apr 20, 2016",0.134
"May 10, 2016",0.136
"May 30, 2016",0.135
"Jun 19, 2016",0.141
"Jul 9, 2016",0.261
"Jul 29, 2016",0.371
"Aug 18, 2016",0.534
"Sep 7, 2016",
"Sep 27, 2016",
"Oct 17, 2016",0.3
"Nov 6, 2016",0.215
"Nov 16, 2016",
"Nov 26, 2016",
"Dec 16, 2016",0.132
"Dec 26, 2016",0.099
"Jan 5, 2017",0.093
"Jan 25, 2017",0.097
"Feb 4, 2017",0.09
"Feb 14, 2017",
"Feb 14, 2017",
"Mar 6, 2017",0.083
"Mar 26, 2017",0.105
"Apr 15, 2017",0.131
"May 5, 2017",0.121
"May 25, 2017",
"Jun 14, 2017",
"Jun 29, 2017",0.128
"Jul 4, 2017",
"Jul 19, 2017",
"Jul 24, 2017",
"Aug 8, 2017",0.529
"Aug 13, 2017",0.546
"Sep 2, 2017",
"Sep 17, 2017",0.437
"Sep 22, 2017",0.403
"Oct 7, 2017",
"Oct 27, 2017",0.188
"Nov 1, 2017",0.193
"Nov 16, 2017",0.149
"Nov 21, 2017",
"Nov 26, 2017",0.147
"Dec 6, 2017",0.097
"Dec 11, 2017",
"Dec 16, 2017",
"Dec 26, 2017",
"Dec 31, 2017",
"Jan 5, 2018",0.12
"Jan 15, 2018",0.112
"Jan 20, 2018",
"Jan 25, 2018",0.118
"Feb 4, 2018",0.114
"Feb 9, 2018",0.108
"Feb 14, 2018",
"Feb 19, 2018",0.07
"Feb 24, 2018",
"Mar 1, 2018",
"Mar 6, 2018",
"Mar 11, 2018",
"Mar 16, 2018",
"Mar 21, 2018",
"Mar 26, 2018",
"Mar 31, 2018",
"Apr 5, 2018",
"Apr 10, 2018",0.094
"Apr 15, 2018",
"Apr 20, 2018",
"Apr 25, 2018",0.101
"Apr 30, 2018",0.111
"May 5, 2018",0.113
"May 10, 2018",0.11
"May 15, 2018",0.102
"May 20, 2018",0.107
"May 25, 2018",0.1
"May 30, 2018",0.103
"Jun 4, 2018",0.095
"Jun 9, 2018",0.09
"Jun 14, 2018",0.08
"Jun 19, 2018",0.127
"Jun 24, 2018",0.118
"Jun 29, 2018",0.096
"Jul 4, 2018",0.098
"Jul 9, 2018",0.101
"Jul 14, 2018",
"Jul 19, 2018",0.176
"Jul 24, 2018",0.238
"Aug 3, 2018",0.34
"Aug 8, 2018",
"Aug 13, 2018",0.413
"Aug 18, 2018",
"Aug 23, 2018",
"Aug 28, 2018",0.511
"Sep 2, 2018",0.488
"Sep 7, 2018",0.447
"Sep 12, 2018",0.338
