system:time_start,NDVI for pixel Lon:120.42 Lat:63.35
"Jan 30, 2016",
"Jan 30, 2016",
"Feb 12, 2016",
"Feb 12, 2016",
"Mar 13, 2016",0.028
"Mar 13, 2016",0.038
"Mar 26, 2016",
"Mar 26, 2016",
"Mar 30, 2016",
"Mar 30, 2016",
"Apr 12, 2016",0.022
"Apr 12, 2016",0.038
"Apr 25, 2016",
"Apr 25, 2016",
"Apr 29, 2016",0.061
"Apr 29, 2016",0.056
"May 5, 2016",
"May 5, 2016",
"May 12, 2016",
"May 12, 2016",
"May 19, 2016",0.261
"May 19, 2016",0.245
"May 25, 2016",
"May 25, 2016",
"Jun 8, 2016",0.2
"Jun 8, 2016",0.043
"Jun 14, 2016",0.683
"Jun 14, 2016",0.684
"Jun 21, 2016",0.321
"Jun 21, 2016",0.306
"Jun 28, 2016",0.629
"Jun 28, 2016",0.629
"Jul 11, 2016",
"Jul 11, 2016",
"Jul 18, 2016",0.608
"Jul 18, 2016",0.603
"Jul 24, 2016",
"Jul 24, 2016",
"Jul 31, 2016",
"Jul 31, 2016",
"Aug 7, 2016",
"Aug 7, 2016",
"Aug 13, 2016",0.692
"Aug 13, 2016",0.694
"Aug 13, 2016",0.692
"Aug 13, 2016",0.694
"Aug 20, 2016",
"Aug 20, 2016",
"Aug 27, 2016",0.235
"Aug 27, 2016",0.179
"Sep 2, 2016",0.513
"Sep 2, 2016",0.534
"Sep 2, 2016",0.513
"Sep 2, 2016",0.534
"Sep 9, 2016",0.337
"Sep 9, 2016",0.357
"Sep 16, 2016",
"Sep 16, 2016",
"Sep 22, 2016",
"Sep 22, 2016",
"Sep 29, 2016",
"Sep 29, 2016",
"Oct 6, 2016",
"Oct 6, 2016",
"Oct 12, 2016",
"Oct 12, 2016",
"Oct 19, 2016",-0.093
"Oct 19, 2016",-0.068
"Oct 26, 2016",-0.01
"Oct 26, 2016",-0.014
"Nov 1, 2016",
"Nov 1, 2016",
"Nov 8, 2016",
"Nov 8, 2016",
"Nov 15, 2016",
"Nov 15, 2016",
"Feb 3, 2017",0.015
"Feb 3, 2017",0.021
"Feb 9, 2017",0.019
"Feb 9, 2017",0.023
"Feb 13, 2017",0.021
"Feb 13, 2017",0.025
"Feb 19, 2017",0.009
"Feb 19, 2017",0.015
"Feb 26, 2017",0.043
"Feb 26, 2017",0.05
"Mar 5, 2017",0.032
"Mar 5, 2017",0.045
"Mar 11, 2017",0.052
"Mar 11, 2017",0.072
"Mar 18, 2017",
"Mar 18, 2017",
"Mar 25, 2017",0.022
"Mar 25, 2017",0.042
"Mar 31, 2017",0.021
"Mar 31, 2017",0.043
"Apr 7, 2017",-0.104
"Apr 7, 2017",-0.094
"Apr 14, 2017",
"Apr 14, 2017",
"Apr 20, 2017",
"Apr 20, 2017",
"Apr 27, 2017",
"Apr 27, 2017",
"May 4, 2017",
"May 4, 2017",
"May 10, 2017",
"May 10, 2017",
"May 17, 2017",
"May 17, 2017",
"May 24, 2017",
"May 24, 2017",
"May 30, 2017",0.395
"May 30, 2017",0.362
"Jun 6, 2017",
"Jun 6, 2017",
"Jun 13, 2017",
"Jun 13, 2017",
"Jun 19, 2017",
"Jun 19, 2017",
"Jun 26, 2017",
"Jun 26, 2017",
"Jul 3, 2017",
"Jul 3, 2017",
"Jul 9, 2017",0.513
"Jul 9, 2017",0.514
"Jul 11, 2017",
"Jul 11, 2017",
"Jul 16, 2017",
"Jul 16, 2017",
"Jul 18, 2017",0.631
"Jul 18, 2017",0.635
"Jul 23, 2017",0.336
"Jul 23, 2017",0.34
"Jul 24, 2017",
"Jul 24, 2017",
"Jul 29, 2017",0.688
"Jul 29, 2017",0.688
"Jul 31, 2017",0.603
"Jul 31, 2017",0.602
"Aug 5, 2017",0.531
"Aug 5, 2017",0.53
"Aug 7, 2017",0.254
"Aug 7, 2017",0.256
"Aug 12, 2017",
"Aug 12, 2017",
"Aug 13, 2017",0.56
"Aug 13, 2017",0.557
"Aug 18, 2017",
"Aug 18, 2017",
