system:time_start,bi
"Jan 1, 1984",0
"Jan 2, 1984",0
"Jan 3, 1984",0
"Jan 4, 1984",0
"Jan 5, 1984",0
"Jan 6, 1984",0
"Jan 7, 1984",0
"Jan 8, 1984",0
"Jan 9, 1984",24.958
"Jan 10, 1984",36.132
"Jan 11, 1984",33.602
"Jan 12, 1984",28.102
"Jan 13, 1984",0
"Jan 14, 1984",44.303
"Jan 15, 1984",26.744
"Jan 16, 1984",31.173
"Jan 17, 1984",36.836
"Jan 18, 1984",29.097
"Jan 19, 1984",29.282
"Jan 20, 1984",35.086
"Jan 21, 1984",40.181
"Jan 22, 1984",40.156
"Jan 23, 1984",30.904
"Jan 24, 1984",36.012
"Jan 25, 1984",39.988
"Jan 26, 1984",37.007
"Jan 27, 1984",50.596
"Jan 28, 1984",34.314
"Jan 29, 1984",33.01
"Jan 30, 1984",65.392
"Jan 31, 1984",45.632
"Feb 1, 1984",40.306
"Feb 2, 1984",39.2
"Feb 3, 1984",37.178
"Feb 4, 1984",43.803
"Feb 5, 1984",55.446
"Feb 6, 1984",50.449
"Feb 7, 1984",47.911
"Feb 8, 1984",57.58
"Feb 9, 1984",56.354
"Feb 10, 1984",73.261
"Feb 11, 1984",68.519
"Feb 12, 1984",45.235
"Feb 13, 1984",51.906
"Feb 14, 1984",0
"Feb 15, 1984",59.919
"Feb 16, 1984",62.117
"Feb 17, 1984",91.991
"Feb 18, 1984",50.384
"Feb 19, 1984",43.499
"Feb 20, 1984",71.041
"Feb 21, 1984",46.922
"Feb 22, 1984",59.604
"Feb 23, 1984",62.041
"Feb 24, 1984",60.014
"Feb 25, 1984",101.344
"Feb 26, 1984",82.388
"Feb 27, 1984",72.212
"Feb 28, 1984",76.973
"Feb 29, 1984",63.876
"Mar 1, 1984",65.204
"Mar 2, 1984",66.267
"Mar 3, 1984",70.677
"Mar 4, 1984",96.961
"Mar 5, 1984",71.919
"Mar 6, 1984",55.379
"Mar 7, 1984",56.639
"Mar 8, 1984",59.949
"Mar 9, 1984",68.47
"Mar 10, 1984",55.884
"Mar 11, 1984",81.897
"Mar 12, 1984",66.9
"Mar 13, 1984",70.299
"Mar 14, 1984",80.986
"Mar 15, 1984",70.911
"Mar 16, 1984",73.478
"Mar 17, 1984",89.478
"Mar 18, 1984",100.184
"Mar 19, 1984",65.34
"Mar 20, 1984",69.913
"Mar 21, 1984",90.138
"Mar 22, 1984",112.852
"Mar 23, 1984",80.687
"Mar 24, 1984",69.729
"Mar 25, 1984",96.711
"Mar 26, 1984",131.77
"Mar 27, 1984",118.433
"Mar 28, 1984",52.566
"Mar 29, 1984",88.742
"Mar 30, 1984",120.162
"Mar 31, 1984",79.576
"Apr 1, 1984",104.507
"Apr 2, 1984",79.082
"Apr 3, 1984",61.329
"Apr 4, 1984",63.509
"Apr 5, 1984",85.492
"Apr 6, 1984",0
"Apr 7, 1984",0
"Apr 8, 1984",45.95
"Apr 9, 1984",72.484
"Apr 10, 1984",58.191
"Apr 11, 1984",71.864
"Apr 12, 1984",53.898
"Apr 13, 1984",51.148
"Apr 14, 1984",68.229
"Apr 15, 1984",55.675
"Apr 16, 1984",60.348
"Apr 17, 1984",82.174
"Apr 18, 1984",98.162
"Apr 19, 1984",110.314
