system:time_start,erc
"Jan 1, 2006",80.468
"Jan 2, 2006",78.37
"Jan 3, 2006",74.698
"Jan 4, 2006",80.65
"Jan 5, 2006",83.279
"Jan 6, 2006",83.327
"Jan 7, 2006",84.375
"Jan 8, 2006",84.77
"Jan 9, 2006",86.224
"Jan 10, 2006",88.118
"Jan 11, 2006",87.833
"Jan 12, 2006",87.655
"Jan 13, 2006",88.01
"Jan 14, 2006",87.357
"Jan 15, 2006",80.016
"Jan 16, 2006",76.309
"Jan 17, 2006",80.769
"Jan 18, 2006",83.998
"Jan 19, 2006",85.311
"Jan 20, 2006",79.05
"Jan 21, 2006",80.367
"Jan 22, 2006",80.744
"Jan 23, 2006",80.964
"Jan 24, 2006",78.293
"Jan 25, 2006",52.397
"Jan 26, 2006",70.906
"Jan 27, 2006",75.831
"Jan 28, 2006",74.193
"Jan 29, 2006",73.434
"Jan 30, 2006",74.031
"Jan 31, 2006",75.82
"Feb 1, 2006",75.473
"Feb 2, 2006",76.065
"Feb 3, 2006",76.892
"Feb 4, 2006",79.679
"Feb 5, 2006",82.549
"Feb 6, 2006",85.209
"Feb 7, 2006",86.267
"Feb 8, 2006",88.355
"Feb 9, 2006",65.583
"Feb 10, 2006",81.176
"Feb 11, 2006",82.854
"Feb 12, 2006",85.309
"Feb 13, 2006",87.43
"Feb 14, 2006",89.447
"Feb 15, 2006",89.688
"Feb 16, 2006",86.938
"Feb 17, 2006",63.176
"Feb 18, 2006",73.103
"Feb 19, 2006",72.215
"Feb 20, 2006",72.198
"Feb 21, 2006",73.434
"Feb 22, 2006",74.084
"Feb 23, 2006",74.099
"Feb 24, 2006",71.108
"Feb 25, 2006",78.456
"Feb 26, 2006",81.308
"Feb 27, 2006",83.9
"Feb 28, 2006",84.401
"Mar 1, 2006",80.685
"Mar 2, 2006",79.262
"Mar 3, 2006",81.387
"Mar 4, 2006",83.527
"Mar 5, 2006",85.535
"Mar 6, 2006",87.554
"Mar 7, 2006",54.12
"Mar 8, 2006",64.037
"Mar 9, 2006",69.499
"Mar 10, 2006",71.271
"Mar 11, 2006",66.978
"Mar 12, 2006",40.645
"Mar 13, 2006",58.343
"Mar 14, 2006",65.145
"Mar 15, 2006",69.085
"Mar 16, 2006",69.284
"Mar 17, 2006",69.97
"Mar 18, 2006",68.887
"Mar 19, 2006",49.746
"Mar 20, 2006",47.153
"Mar 21, 2006",66.044
"Mar 22, 2006",49.538
"Mar 23, 2006",69.218
"Mar 24, 2006",71.744
"Mar 25, 2006",76.02
"Mar 26, 2006",79.179
"Mar 27, 2006",79.356
"Mar 28, 2006",76.6
"Mar 29, 2006",74.647
"Mar 30, 2006",73.818
"Mar 31, 2006",73.735
"Apr 1, 2006",72.038
"Apr 2, 2006",72.378
"Apr 3, 2006",75.734
"Apr 4, 2006",78.486
"Apr 5, 2006",47.887
"Apr 6, 2006",66.438
"Apr 7, 2006",70.069
"Apr 8, 2006",73.983
"Apr 9, 2006",77.75
"Apr 10, 2006",74.71
"Apr 11, 2006",69.065
"Apr 12, 2006",73.917
"Apr 13, 2006",77.164
"Apr 14, 2006",78.723
"Apr 15, 2006",75.309
"Apr 16, 2006",76.182
"Apr 17, 2006",77.232
"Apr 18, 2006",79.348
"Apr 19, 2006",83.29
"Apr 20, 2006",85.204
"Apr 21, 2006",87.125
"Apr 22, 2006",88.396
"Apr 23, 2006",86.57
"Apr 24, 2006",87.138
"Apr 25, 2006",88.168
"Apr 26, 2006",88.136
"Apr 27, 2006",83.818
"Apr 28, 2006",79.058
"Apr 29, 2006",78.199
"Apr 30, 2006",81.174
"May 1, 2006",82.317
"May 2, 2006",84.823
"May 3, 2006",87.237
"May 4, 2006",87.754
"May 5, 2006",87.052
"May 6, 2006",86.235
"May 7, 2006",86.544
"May 8, 2006",86.055
"May 9, 2006",86.246
"May 10, 2006",87.798
"May 11, 2006",88.743
"May 12, 2006",89.734
"May 13, 2006",91.161
"May 14, 2006",91.666
"May 15, 2006",92.266
"May 16, 2006",65.612
"May 17, 2006",63.338
"May 18, 2006",84.163
"May 19, 2006",85.208
"May 20, 2006",87.083
"May 21, 2006",87.912
"May 22, 2006",87.953
"May 23, 2006",85.989
"May 24, 2006",89.17
"May 25, 2006",91.163
"May 26, 2006",91.534
"May 27, 2006",91.746
"May 28, 2006",89.104
"May 29, 2006",87.861
"May 30, 2006",90.277
"May 31, 2006",92.983
"Jun 1, 2006",67.876
"Jun 2, 2006",90.214
"Jun 3, 2006",88.984
"Jun 4, 2006",90.692
"Jun 5, 2006",91.735
"Jun 6, 2006",67.195
"Jun 7, 2006",62.397
"Jun 8, 2006",60.762
"Jun 9, 2006",60.737
"Jun 10, 2006",83.022
"Jun 11, 2006",85.537
"Jun 12, 2006",87.043
"Jun 13, 2006",89.944
"Jun 14, 2006",91.416
"Jun 15, 2006",92.672
"Jun 16, 2006",91.804
"Jun 17, 2006",90.995
"Jun 18, 2006",92.832
"Jun 19, 2006",92.981
"Jun 20, 2006",93.494
"Jun 21, 2006",68.995
"Jun 22, 2006",89.958
"Jun 23, 2006",90.33
