date,fm1000
"Jan 1, 1984",11.704
"Jan 2, 1984",11.959
"Jan 3, 1984",12.401
"Jan 4, 1984",13.933
"Jan 5, 1984",15.38
"Jan 6, 1984",16.014
"Jan 7, 1984",16.425
"Jan 8, 1984",17.43
"Jan 9, 1984",17.553
"Jan 10, 1984",17.543
"Jan 11, 1984",17.067
"Jan 12, 1984",16.625
"Jan 13, 1984",16.392
"Jan 14, 1984",16.696
"Jan 15, 1984",16.48
"Jan 16, 1984",16.454
"Jan 17, 1984",16.501
"Jan 18, 1984",16.291
"Jan 19, 1984",15.878
"Jan 20, 1984",15.557
"Jan 21, 1984",15.284
"Jan 22, 1984",14.762
"Jan 23, 1984",14.462
"Jan 24, 1984",14.263
"Jan 25, 1984",13.908
"Jan 26, 1984",13.604
"Jan 27, 1984",13.418
"Jan 28, 1984",13.232
"Jan 29, 1984",12.76
"Jan 30, 1984",12.431
"Jan 31, 1984",12.31
"Feb 1, 1984",12.198
"Feb 2, 1984",12.255
"Feb 3, 1984",12.101
"Feb 4, 1984",11.946
"Feb 5, 1984",11.672
"Feb 6, 1984",11.476
"Feb 7, 1984",11.33
"Feb 8, 1984",11.103
"Feb 9, 1984",10.867
"Feb 10, 1984",10.747
"Feb 11, 1984",10.768
"Feb 12, 1984",10.495
"Feb 13, 1984",10.258
"Feb 14, 1984",10.125
"Feb 15, 1984",9.939
"Feb 16, 1984",9.659
"Feb 17, 1984",9.568
"Feb 18, 1984",9.453
"Feb 19, 1984",9.336
"Feb 20, 1984",9.281
"Feb 21, 1984",9.223
"Feb 22, 1984",9.032
"Feb 23, 1984",8.944
"Feb 24, 1984",8.805
"Feb 25, 1984",8.665
"Feb 26, 1984",8.56
"Feb 27, 1984",8.464
"Feb 28, 1984",8.297
"Feb 29, 1984",8.154
"Mar 1, 1984",8.058
"Mar 2, 1984",7.975
"Mar 3, 1984",7.915
"Mar 4, 1984",7.854
"Mar 5, 1984",7.815
"Mar 6, 1984",7.893
"Mar 7, 1984",7.854
"Mar 8, 1984",7.747
"Mar 9, 1984",7.655
"Mar 10, 1984",7.559
"Mar 11, 1984",7.45
"Mar 12, 1984",7.372
"Mar 13, 1984",7.256
"Mar 14, 1984",7.235
"Mar 15, 1984",7.261
"Mar 16, 1984",7.29
"Mar 17, 1984",7.171
"Mar 18, 1984",7.094
"Mar 19, 1984",6.994
"Mar 20, 1984",6.859
"Mar 21, 1984",6.77
"Mar 22, 1984",6.718
"Mar 23, 1984",6.658
"Mar 24, 1984",6.573
"Mar 25, 1984",6.482
"Mar 26, 1984",6.464
"Mar 27, 1984",6.845
"Mar 28, 1984",6.87
"Mar 29, 1984",6.82
"Mar 30, 1984",6.967
"Mar 31, 1984",7.113
"Apr 1, 1984",7.251
"Apr 2, 1984",7.303
"Apr 3, 1984",7.254
"Apr 4, 1984",7.185
"Apr 5, 1984",7.155
"Apr 6, 1984",8.307
"Apr 7, 1984",9.761
"Apr 8, 1984",10.133
"Apr 9, 1984",10.211
"Apr 10, 1984",10.076
"Apr 11, 1984",10.054
"Apr 12, 1984",10.039
"Apr 13, 1984",9.609
"Apr 14, 1984",9.048
"Apr 15, 1984",8.769
"Apr 16, 1984",8.58
"Apr 17, 1984",8.39
"Apr 18, 1984",8.409
"Apr 19, 1984",8.436
"Apr 20, 1984",8.412
"Apr 21, 1984",8.105
"Apr 22, 1984",7.984
"Apr 23, 1984",7.928
"Apr 24, 1984",7.853
"Apr 25, 1984",7.853
"Apr 26, 1984",8.323
"Apr 27, 1984",8.429
"Apr 28, 1984",8.493
"Apr 29, 1984",8.768
"Apr 30, 1984",8.804
"May 1, 1984",8.784
"May 2, 1984",8.825
"May 3, 1984",8.767
"May 4, 1984",8.506
"May 5, 1984",8.307
"May 6, 1984",8.298
"May 7, 1984",8.414
"May 8, 1984",8.387
"May 9, 1984",8.347
"May 10, 1984",8.162
"May 11, 1984",7.886
"May 12, 1984",7.663
"May 13, 1984",7.506
"May 14, 1984",7.644
"May 15, 1984",8.031
"May 16, 1984",8.278
"May 17, 1984",8.326
"May 18, 1984",8.218
"May 19, 1984",8.077
"May 20, 1984",7.946
"May 21, 1984",7.827
"May 22, 1984",7.65
"May 23, 1984",7.497
"May 24, 1984",7.315
"May 25, 1984",7.107
"May 26, 1984",6.957
"May 27, 1984",6.824
"May 28, 1984",6.666
"May 29, 1984",6.604
"May 30, 1984",6.549
"May 31, 1984",6.486
"Jun 1, 1984",6.539
"Jun 2, 1984",6.524
"Jun 3, 1984",6.78
"Jun 4, 1984",7.496
"Jun 5, 1984",7.522
"Jun 6, 1984",7.585
"Jun 7, 1984",7.614
"Jun 8, 1984",7.581
"Jun 9, 1984",7.554
"Jun 10, 1984",7.459
"Jun 11, 1984",7.246
"Jun 12, 1984",7.171
"Jun 13, 1984",7.125
"Jun 14, 1984",7.032
"Jun 15, 1984",6.942
"Jun 16, 1984",6.962
