system:time_start,fm1000
"Jan 1, 2006",7.04
"Jan 2, 2006",7.15
"Jan 3, 2006",7.293
"Jan 4, 2006",7.239
"Jan 5, 2006",7.163
"Jan 6, 2006",7.145
"Jan 7, 2006",7.069
"Jan 8, 2006",6.987
"Jan 9, 2006",6.896
"Jan 10, 2006",6.583
"Jan 11, 2006",6.544
"Jan 12, 2006",6.562
"Jan 13, 2006",6.539
"Jan 14, 2006",6.519
"Jan 15, 2006",6.65
"Jan 16, 2006",6.944
"Jan 17, 2006",6.869
"Jan 18, 2006",6.781
"Jan 19, 2006",6.76
"Jan 20, 2006",7.052
"Jan 21, 2006",7.058
"Jan 22, 2006",7.02
"Jan 23, 2006",6.989
"Jan 24, 2006",6.972
"Jan 25, 2006",7.867
"Jan 26, 2006",8.037
"Jan 27, 2006",7.931
"Jan 28, 2006",8.12
"Jan 29, 2006",8.091
"Jan 30, 2006",8.083
"Jan 31, 2006",7.973
"Feb 1, 2006",7.898
"Feb 2, 2006",7.931
"Feb 3, 2006",7.939
"Feb 4, 2006",7.837
"Feb 5, 2006",7.681
"Feb 6, 2006",7.482
"Feb 7, 2006",7.324
"Feb 8, 2006",7
"Feb 9, 2006",7.006
"Feb 10, 2006",7.144
"Feb 11, 2006",7.153
"Feb 12, 2006",7.068
"Feb 13, 2006",6.943
"Feb 14, 2006",6.777
"Feb 15, 2006",6.6
"Feb 16, 2006",6.627
"Feb 17, 2006",6.768
"Feb 18, 2006",7.164
"Feb 19, 2006",7.426
"Feb 20, 2006",7.59
"Feb 21, 2006",7.678
"Feb 22, 2006",7.72
"Feb 23, 2006",7.747
"Feb 24, 2006",7.8
"Feb 25, 2006",7.628
"Feb 26, 2006",7.474
"Feb 27, 2006",7.383
"Feb 28, 2006",7.328
"Mar 1, 2006",7.321
"Mar 2, 2006",7.377
"Mar 3, 2006",7.253
"Mar 4, 2006",7.141
"Mar 5, 2006",7.029
"Mar 6, 2006",6.912
"Mar 7, 2006",8.269
"Mar 8, 2006",8.655
"Mar 9, 2006",8.622
"Mar 10, 2006",8.585
"Mar 11, 2006",8.695
"Mar 12, 2006",10.05
"Mar 13, 2006",10.248
"Mar 14, 2006",9.769
"Mar 15, 2006",9.497
"Mar 16, 2006",9.46
"Mar 17, 2006",9.39
"Mar 18, 2006",9.35
"Mar 19, 2006",9.297
"Mar 20, 2006",9.61
"Mar 21, 2006",9.452
"Mar 22, 2006",9.481
"Mar 23, 2006",9.405
"Mar 24, 2006",9.317
"Mar 25, 2006",9.111
"Mar 26, 2006",8.625
"Mar 27, 2006",8.443
"Mar 28, 2006",8.256
"Mar 29, 2006",8.239
"Mar 30, 2006",8.389
"Mar 31, 2006",8.389
"Apr 1, 2006",8.449
"Apr 2, 2006",8.421
"Apr 3, 2006",8.28
"Apr 4, 2006",8.072
"Apr 5, 2006",9.362
"Apr 6, 2006",9.421
"Apr 7, 2006",9.347
"Apr 8, 2006",9.192
"Apr 9, 2006",8.83
"Apr 10, 2006",8.821
"Apr 11, 2006",9.05
"Apr 12, 2006",8.577
"Apr 13, 2006",8.398
"Apr 14, 2006",8.309
"Apr 15, 2006",8.504
"Apr 16, 2006",8.412
"Apr 17, 2006",8.377
"Apr 18, 2006",8.182
"Apr 19, 2006",7.704
"Apr 20, 2006",7.566
"Apr 21, 2006",7.44
"Apr 22, 2006",7.267
"Apr 23, 2006",7.158
"Apr 24, 2006",7.125
"Apr 25, 2006",6.934
"Apr 26, 2006",6.683
"Apr 27, 2006",6.759
"Apr 28, 2006",6.978
"Apr 29, 2006",7.15
"Apr 30, 2006",7.093
"May 1, 2006",7.053
"May 2, 2006",6.949
"May 3, 2006",6.722
"May 4, 2006",6.648
"May 5, 2006",6.624
"May 6, 2006",6.599
"May 7, 2006",6.528
"May 8, 2006",6.54
"May 9, 2006",6.539
"May 10, 2006",6.409
"May 11, 2006",6.339
"May 12, 2006",6.248
"May 13, 2006",6.127
"May 14, 2006",6.039
"May 15, 2006",5.952
"May 16, 2006",6.216
"May 17, 2006",6.406
"May 18, 2006",6.46
"May 19, 2006",6.443
"May 20, 2006",6.388
"May 21, 2006",6.34
"May 22, 2006",6.325
"May 23, 2006",6.356
"May 24, 2006",6.187
"May 25, 2006",6.092
"May 26, 2006",6.03
"May 27, 2006",5.984
"May 28, 2006",6.037
"May 29, 2006",6.1
"May 30, 2006",5.929
"May 31, 2006",5.77
"Jun 1, 2006",6.015
"Jun 2, 2006",6.021
"Jun 3, 2006",6.017
"Jun 4, 2006",5.948
"Jun 5, 2006",5.886
"Jun 6, 2006",5.93
"Jun 7, 2006",6.416
"Jun 8, 2006",6.619
"Jun 9, 2006",6.717
"Jun 10, 2006",6.737
"Jun 11, 2006",6.678
"Jun 12, 2006",6.624
"Jun 13, 2006",6.426
"Jun 14, 2006",6.179
"Jun 15, 2006",5.982
"Jun 16, 2006",5.956
"Jun 17, 2006",5.943
"Jun 18, 2006",5.887
"Jun 19, 2006",5.858
"Jun 20, 2006",5.771
"Jun 21, 2006",5.777
"Jun 22, 2006",5.713
"Jun 23, 2006",5.678
"Jun 24, 2006",5.695
"Jun 25, 2006",6.073
"Jun 26, 2006",6.244
"Jun 27, 2006",6.381
"Jun 28, 2006",6.392
"Jun 29, 2006",6.456
"Jun 30, 2006",6.89
"Jul 1, 2006",7.016
"Jul 2, 2006",7.112
"Jul 3, 2006",7.804
"Jul 4, 2006",8.861
"Jul 5, 2006",9.807
"Jul 6, 2006",10.722
"Jul 7, 2006",12.059
"Jul 8, 2006",12.466
"Jul 9, 2006",12.613
"Jul 10, 2006",12.565
"Jul 11, 2006",12.313
"Jul 12, 2006",11.992
"Jul 13, 2006",11.806
"Jul 14, 2006",11.423
"Jul 15, 2006",11.291
"Jul 16, 2006",11.24
"Jul 17, 2006",11.227
"Jul 18, 2006",11.538
"Jul 19, 2006",11.777
"Jul 20, 2006",11.719
"Jul 21, 2006",11.377
"Jul 22, 2006",11.337
"Jul 23, 2006",11.501
"Jul 24, 2006",11.414
"Jul 25, 2006",12.553
"Jul 26, 2006",12.69
"Jul 27, 2006",13.219
"Jul 28, 2006",14.315
"Jul 29, 2006",15.413
"Jul 30, 2006",17.123
"Jul 31, 2006",18.727
"Aug 1, 2006",18.639
"Aug 2, 2006",19.115
"Aug 3, 2006",20.38
"Aug 4, 2006",21.435
"Aug 5, 2006",21.549
"Aug 6, 2006",21.508
"Aug 7, 2006",21.528
"Aug 8, 2006",21.955
"Aug 9, 2006",23.025
"Aug 10, 2006",22.732
"Aug 11, 2006",23.003
"Aug 12, 2006",23.067
"Aug 13, 2006",23.053
"Aug 14, 2006",22.895
"Aug 15, 2006",22.795
"Aug 16, 2006",23.62
"Aug 17, 2006",24.298
"Aug 18, 2006",24.108
"Aug 19, 2006",24.588
"Aug 20, 2006",24.998
"Aug 21, 2006",25.017
"Aug 22, 2006",25.71
"Aug 23, 2006",25.23
"Aug 24, 2006",25.836
"Aug 25, 2006",25.406
"Aug 26, 2006",25.319
"Aug 27, 2006",25.002
"Aug 28, 2006",24.662
"Aug 29, 2006",24.124
"Aug 30, 2006",23.695
"Aug 31, 2006",23.117
"Sep 1, 2006",23.079
"Sep 2, 2006",22.933
"Sep 3, 2006",23.871
"Sep 4, 2006",25.102
"Sep 5, 2006",25.983
"Sep 6, 2006",25.674
"Sep 7, 2006",25.721
"Sep 8, 2006",26.563
"Sep 9, 2006",26.52
"Sep 10, 2006",26.032
"Sep 11, 2006",26.623
"Sep 12, 2006",27.018
"Sep 13, 2006",27.854
"Sep 14, 2006",27.402
"Sep 15, 2006",26.623
"Sep 16, 2006",26.429
"Sep 17, 2006",26.004
"Sep 18, 2006",25.325
"Sep 19, 2006",24.237
"Sep 20, 2006",23.729
"Sep 21, 2006",23.424
"Sep 22, 2006",23.052
"Sep 23, 2006",23.087
"Sep 24, 2006",22.893
"Sep 25, 2006",22.402
"Sep 26, 2006",21.72
"Sep 27, 2006",21.049
"Sep 28, 2006",20.418
"Sep 29, 2006",19.651
"Sep 30, 2006",19.152
"Oct 1, 2006",18.507
"Oct 2, 2006",17.943
"Oct 3, 2006",17.512
"Oct 4, 2006",17.036
"Oct 5, 2006",16.765
"Oct 6, 2006",17.001
"Oct 7, 2006",17.277
"Oct 8, 2006",17.85
"Oct 9, 2006",18.286
"Oct 10, 2006",18.238
"Oct 11, 2006",18.033
"Oct 12, 2006",17.722
"Oct 13, 2006",17.35
"Oct 14, 2006",17.558
"Oct 15, 2006",17.465
"Oct 16, 2006",17.314
"Oct 17, 2006",17.171
