system:time_start,NDVI
"Apr 17, 1984",0.503
"Jun 4, 1984",
"Jun 20, 1984",0.586
"Jul 6, 1984",0.619
"Nov 27, 1984",0.291
"Dec 29, 1984",0.173
"Apr 4, 1985",0.437
"Apr 20, 1985",0.469
"Jul 25, 1985",0.643
"Aug 10, 1985",
"Aug 26, 1985",
"Sep 11, 1985",
"Oct 13, 1985",0.605
"Oct 29, 1985",0.348
"Nov 14, 1985",0.265
"Jan 17, 1986",0.592
"Feb 2, 1986",
"Feb 18, 1986",
"Mar 22, 1986",0.423
"Apr 7, 1986",
"Apr 23, 1986",
"May 25, 1986",0.452
"Jun 10, 1986",0.604
"Jun 26, 1986",0.633
"Jul 12, 1986",0.639
"Jul 28, 1986",0.494
"Aug 13, 1986",
"Sep 14, 1986",0.655
"Oct 16, 1986",
"Nov 17, 1986",
"Dec 19, 1986",0.46
"Jan 4, 1987",0.57
"Jan 20, 1987",
"Feb 5, 1987",0.524
"Feb 21, 1987",
"Mar 25, 1987",
"Apr 10, 1987",0.424
"Apr 26, 1987",
"May 12, 1987",0.504
"May 28, 1987",
"Jun 13, 1987",0.599
"Jun 29, 1987",0.629
"Jul 15, 1987",0.476
"Aug 16, 1987",0.658
"Sep 1, 1987",0.669
"Oct 3, 1987",0.63
"Oct 19, 1987",
"Mar 27, 1988",0.439
"Apr 12, 1988",0.486
"May 14, 1988",0.532
"May 30, 1988",
"Jun 15, 1988",0.606
"Jul 1, 1988",
"Jul 17, 1988",
"Aug 18, 1988",
"Sep 3, 1988",
"Sep 19, 1988",0.658
"Oct 5, 1988",0.646
"Oct 21, 1988",
"Apr 15, 1989",0.599
"May 1, 1989",
"May 17, 1989",
"Jun 2, 1989",0.588
"Jun 18, 1989",0.612
"Jul 4, 1989",0.61
"Jul 20, 1989",
"Aug 5, 1989",0.605
"Aug 21, 1989",
"Sep 6, 1989",
"Sep 22, 1989",0.622
"Oct 8, 1989",
"Oct 24, 1989",0.663
"Mar 17, 1990",
"Apr 2, 1990",
"Apr 18, 1990",0.473
"May 4, 1990",
"Jun 5, 1990",0.584
"Jun 21, 1990",0.588
"Jul 7, 1990",
"Aug 24, 1990",0.63
"Sep 9, 1990",0.634
"Oct 11, 1990",0.65
"Oct 27, 1990",0.622
"Mar 20, 1991",0.325
"Apr 5, 1991",0.397
"Apr 21, 1991",0.415
"May 7, 1991",0.438
"May 23, 1991",0.483
"Jun 8, 1991",0.524
"Jun 24, 1991",0.547
"Jul 26, 1991",0.502
"Aug 11, 1991",
"Aug 27, 1991",
"Sep 12, 1991",
"Sep 28, 1991",
"Oct 14, 1991",0.583
"Feb 3, 1992",
"Mar 22, 1992",
"Apr 23, 1992",
"May 9, 1992",0.383
"May 25, 1992",
"Jun 10, 1992",0.536
"Jun 26, 1992",0.584
"Jul 12, 1992",0.553
"Jul 28, 1992",
"Aug 13, 1992",
"Sep 14, 1992",
"Sep 30, 1992",0.611
"Oct 16, 1992",0.596
"Nov 1, 1992",0.611
"Nov 17, 1992",0.621
"Jan 4, 1993",0.44
"Jan 20, 1993",0.048
"Feb 5, 1993",0.397
"Feb 21, 1993",0.181
"Mar 9, 1993",0.422
"Mar 25, 1993",0.418
"Apr 10, 1993",0.399
"Apr 26, 1993",0.443
"May 12, 1993",
"May 28, 1993",0.505
"Jun 13, 1993",0.561
"Jun 29, 1993",0.616
"Jul 15, 1993",
"Jul 31, 1993",
"Aug 16, 1993",0.654
"Sep 1, 1993",
"Sep 17, 1993",0.619
"Oct 3, 1993",
"Oct 19, 1993",
"Nov 4, 1993",0.66
"Nov 20, 1993",0.53
"Dec 6, 1993",0.571
"Jan 7, 1994",0.589
"Jan 23, 1994",
"Feb 24, 1994",0.506
"Mar 12, 1994",
"Mar 28, 1994",0.415
"Apr 13, 1994",0.466
"Apr 29, 1994",0.47
"May 15, 1994",0.564
"May 31, 1994",0.559
"Jun 16, 1994",0.611
"Jul 2, 1994",0.632
"Jul 18, 1994",
"Aug 3, 1994",0.656
"Aug 19, 1994",0.626
"Sep 4, 1994",0.663
"Sep 20, 1994",
"Oct 22, 1994",0.512
"Nov 7, 1994",
"Dec 9, 1994",0.382
"Dec 25, 1994",
"Jan 10, 1995",0.579
"Feb 11, 1995",0.538
"Feb 27, 1995",
"Mar 15, 1995",0.486
"Mar 31, 1995",0.484
"Apr 16, 1995",0.488
"May 2, 1995",
"May 18, 1995",
"Jun 3, 1995",0.559
"Jun 19, 1995",0.619
"Jul 5, 1995",0.619
"Jul 21, 1995",
"Aug 6, 1995",0.652
"Aug 22, 1995",
"Sep 7, 1995",
"Sep 23, 1995",0.675
"Oct 9, 1995",0.681
"Oct 25, 1995",0.665
"Nov 10, 1995",0.634
"Nov 26, 1995",
"Dec 12, 1995",
"Jan 13, 1996",0.652
"Jan 29, 1996",0.661
"Feb 14, 1996",
"Mar 1, 1996",
"Mar 17, 1996",0.432
"Apr 2, 1996",
"Apr 18, 1996",0.587
"May 4, 1996",0.515
"May 20, 1996",0.589
"Jun 5, 1996",0.571
"Jun 21, 1996",
"Jul 7, 1996",0.59
"Jul 23, 1996",0.611
"Aug 8, 1996",0.598
"Aug 24, 1996",
"Sep 9, 1996",
"Sep 25, 1996",
"Oct 11, 1996",0.629
"Nov 12, 1996",0.469
"Nov 28, 1996",
"Dec 14, 1996",0.499
"Dec 30, 1996",
"Jan 15, 1997",0.163
"Jan 31, 1997",0.448
"Feb 16, 1997",0.381
"Mar 4, 1997",0.34
"Mar 20, 1997",0.359
"Apr 21, 1997",0.391
"May 7, 1997",0.438
"May 23, 1997",0.498
"Jun 8, 1997",
"Jun 24, 1997",0.499
"Jul 26, 1997",
"Aug 27, 1997",
"Sep 12, 1997",
"Sep 28, 1997",0.568
"Nov 15, 1997",0.175
"Dec 1, 1997",
"Dec 17, 1997",0.393
"Jan 18, 1998",0.319
"Feb 3, 1998",0.343
"Feb 19, 1998",0.214
"Mar 7, 1998",
"Mar 23, 1998",
"Apr 8, 1998",
"Apr 24, 1998",
"May 10, 1998",0.259
"May 26, 1998",0.323
"Jun 11, 1998",0.432
"Jun 27, 1998",0.44
"Jul 13, 1998",0.504
"Jul 29, 1998",0.536
"Aug 14, 1998",0.509
"Aug 30, 1998",0.549
"Oct 1, 1998",0.524
"Nov 2, 1998",0.513
"Nov 18, 1998",0.433
"Dec 4, 1998",0.362
"Dec 20, 1998",0.343
"Jan 5, 1999",0.368
"Jan 21, 1999",
"Feb 22, 1999",0.391
"Mar 10, 1999",0.353
"Apr 11, 1999",
"Apr 27, 1999",0.338
"May 13, 1999",
"May 29, 1999",0.411
"Jun 14, 1999",0.438
"Jun 30, 1999",0.458
"Jul 16, 1999",
"Aug 1, 1999",
"Aug 17, 1999",0.522
"Sep 2, 1999",
"Sep 18, 1999",
"Oct 4, 1999",0.514
"Nov 5, 1999",0.502
"Nov 21, 1999",0.52
"Dec 23, 1999",0.394
"Jan 8, 2000",0.409
"Jan 24, 2000",0.408
"Feb 9, 2000",0.308
"Mar 12, 2000",
"Mar 28, 2000",
"Apr 13, 2000",0.445
"Apr 29, 2000",0.428
"May 15, 2000",0.423
"May 31, 2000",0.427
"Jun 16, 2000",0.456
"Jul 2, 2000",
"Jul 18, 2000",
"Aug 3, 2000",0.473
"Aug 19, 2000",0.501
"Sep 4, 2000",0.478
"Oct 6, 2000",0.481
"Nov 23, 2000",
"Dec 9, 2000",
"Dec 25, 2000",
"Jan 26, 2001",
"Feb 11, 2001",
"Mar 15, 2001",
"Mar 31, 2001",
"Apr 16, 2001",
"May 2, 2001",0.317
"May 18, 2001",0.41
"Jun 3, 2001",0.438
"Jun 19, 2001",0.437
"Jul 5, 2001",0.454
"Aug 6, 2001",0.461
"Aug 22, 2001",0.501
"Sep 7, 2001",0.465
"Sep 23, 2001",
"Oct 9, 2001",0.429
"Oct 25, 2001",0.403
"Nov 10, 2001",0.336
"Nov 26, 2001",
"Jan 13, 2002",
"Feb 14, 2002",0.405
"Mar 2, 2002",0.302
"May 5, 2002",0.387
"May 21, 2002",0.397
"Jun 6, 2002",
"Jun 22, 2002",0.417
"Jul 8, 2002",
"Jul 24, 2002",0.43
"Aug 9, 2002",0.359
"Aug 25, 2002",0.423
"Sep 10, 2002",
"Sep 26, 2002",0.434
"Oct 12, 2002",
"Oct 28, 2002",
"Nov 13, 2002",0.318
"Nov 29, 2002",
"Dec 15, 2002",
"Dec 31, 2002",0.24
"Jan 16, 2003",
"Feb 1, 2003",0.279
"Feb 17, 2003",
"Mar 21, 2003",
"Apr 22, 2003",0.288
"May 8, 2003",0.335
"May 24, 2003",0.368
"Jun 25, 2003",0.388
"Jul 11, 2003",
"Jul 27, 2003",0.387
"Aug 12, 2003",
"Sep 13, 2003",0.386
"Sep 29, 2003",0.391
"Oct 15, 2003",0.382
"Oct 31, 2003",
"Nov 16, 2003",0.353
"Dec 2, 2003",0.264
"Dec 18, 2003",0.219
"Jan 3, 2004",
"Jan 19, 2004",
"Feb 4, 2004",
"Feb 20, 2004",
"Mar 7, 2004",0.113
"Apr 8, 2004",
"Apr 24, 2004",
"May 10, 2004",0.343
"May 26, 2004",
"Jun 11, 2004",0.366
"Jun 27, 2004",0.398
"Jul 13, 2004",0.217
"Jul 29, 2004",0.22
"Aug 30, 2004",
"Sep 15, 2004",0.208
"Oct 1, 2004",0.197
"Oct 17, 2004",
"Nov 2, 2004",
"Nov 18, 2004",-0.024
"Dec 20, 2004",0.01
"Jan 5, 2005",-0.02
"Jan 21, 2005",
"Feb 22, 2005",
"Mar 10, 2005",
"Mar 26, 2005",
"Apr 11, 2005",-0.007
"Apr 27, 2005",
"May 13, 2005",0.168
"May 29, 2005",
"Jun 14, 2005",0.174
"Jun 30, 2005",0.174
"Jul 16, 2005",0.174
"Aug 1, 2005",
"Aug 17, 2005",
"Sep 2, 2005",
"Sep 18, 2005",0.176
"Oct 4, 2005",
"Oct 20, 2005",0.172
"Nov 5, 2005",0.158
"Nov 21, 2005",0.14
"Jan 24, 2006",
"Feb 25, 2006",0.145
"Mar 13, 2006",-0.205
"Apr 14, 2006",
"Apr 30, 2006",0.132
"May 16, 2006",
"Jun 1, 2006",0.147
"Jun 17, 2006",0.162
"Jul 3, 2006",
"Jul 19, 2006",0.209
"Aug 20, 2006",0.202
"Sep 5, 2006",
"Sep 21, 2006",0.204
"Oct 7, 2006",
"Oct 23, 2006",0.163
"Nov 8, 2006",0.165
"Nov 24, 2006",0.155
"Dec 10, 2006",
"Dec 26, 2006",
"Jan 27, 2007",-0.012
"Feb 28, 2007",
"Mar 16, 2007",
"Apr 1, 2007",
"Apr 17, 2007",0.149
"May 3, 2007",0.164
"May 19, 2007",0.186
"Jun 20, 2007",0.203
"Jul 6, 2007",
"Jul 22, 2007",
"Aug 7, 2007",
"Aug 23, 2007",
"Sep 8, 2007",
"Sep 24, 2007",0.274
"Mar 2, 2008",
"Mar 18, 2008",-0.297
"Apr 3, 2008",
"Apr 19, 2008",
"May 5, 2008",0.14
"May 21, 2008",0.155
"Jun 6, 2008",0.159
"Jun 22, 2008",0.179
"Jul 8, 2008",
"Jul 24, 2008",
"Aug 9, 2008",
"Aug 25, 2008",
"Sep 10, 2008",0.211
"Sep 26, 2008",
"Oct 12, 2008",0.181
"Oct 28, 2008",0.157
"Nov 13, 2008",
"Nov 29, 2008",-0.026
"Dec 15, 2008",
"Dec 31, 2008",-0.054
"Jan 16, 2009",-0.052
"Feb 1, 2009",-0.024
"Feb 17, 2009",
"Mar 5, 2009",
"Mar 21, 2009",0.033
"Apr 6, 2009",0.134
"Apr 22, 2009",0.115
"May 8, 2009",0.148
"May 24, 2009",0.195
"Jul 11, 2009",0.276
"Jul 27, 2009",
"Aug 12, 2009",
"Aug 28, 2009",0.288
"Sep 13, 2009",
