date,ndvi
Apr-17-1984,0.508
Jun-4-1984,
Jun-20-1984,0.585
Jul-6-1984,0.606
Nov-27-1984,0.224
Dec-29-1984,0.175
Apr-4-1985,0.409
Apr-20-1985,0.475
Jul-25-1985,0.664
Aug-10-1985,
Aug-26-1985,
Sep-11-1985,
Oct-13-1985,0.6
Oct-29-1985,0.662
Nov-14-1985,0.198
Jan-17-1986,0.585
Feb-2-1986,
Feb-18-1986,
Mar-22-1986,0.409
Apr-7-1986,
Apr-23-1986,
May-25-1986,0.445
Jun-10-1986,0.604
Jun-26-1986,0.621
Jul-12-1986,0.634
Jul-28-1986,
Aug-13-1986,
Sep-14-1986,0.644
Oct-16-1986,
Nov-17-1986,
Dec-19-1986,0.446
Jan-4-1987,0.582
Jan-20-1987,
Feb-5-1987,0.553
Feb-21-1987,0.188
Mar-25-1987,
Apr-10-1987,0.39
Apr-26-1987,0.478
May-12-1987,
May-28-1987,
Jun-13-1987,0.6
Jun-29-1987,0.617
Jul-15-1987,
Aug-16-1987,0.656
Sep-1-1987,0.666
Oct-3-1987,0.643
Oct-19-1987,0.649
Mar-27-1988,0.451
Apr-12-1988,0.496
May-14-1988,0.556
May-30-1988,
Jun-15-1988,0.599
Jul-1-1988,
Jul-17-1988,
Aug-18-1988,
Sep-3-1988,0.684
Sep-19-1988,0.651
Oct-5-1988,0.629
Oct-21-1988,0.608
Apr-15-1989,0.607
May-1-1989,
May-17-1989,
Jun-2-1989,0.597
Jun-18-1989,0.616
Jul-4-1989,0.618
Jul-20-1989,
Aug-5-1989,
Aug-21-1989,
Sep-6-1989,
Sep-22-1989,0.637
Oct-8-1989,
Oct-24-1989,0.656
Mar-17-1990,
Apr-2-1990,
Apr-18-1990,0.543
May-4-1990,
Jun-5-1990,0.579
Jun-21-1990,0.611
Jul-7-1990,
Aug-24-1990,0.622
Sep-9-1990,0.657
Oct-11-1990,0.649
Oct-27-1990,0.634
Mar-20-1991,
Apr-5-1991,
Apr-21-1991,0.449
May-7-1991,0.428
May-23-1991,0.483
Jun-8-1991,0.53
Jun-24-1991,0.574
Jul-26-1991,
Aug-11-1991,
Aug-27-1991,
Sep-12-1991,
Sep-28-1991,
Oct-14-1991,0.59
Feb-3-1992,
Mar-22-1992,
Apr-23-1992,
May-9-1992,0.387
May-25-1992,
Jun-10-1992,0.558
Jun-26-1992,0.59
Jul-12-1992,0.529
Jul-28-1992,
Aug-13-1992,
Sep-14-1992,
Sep-30-1992,0.612
Oct-16-1992,0.61
Nov-1-1992,0.599
Nov-17-1992,0.641
Jan-4-1993,0.441
Jan-20-1993,0.035
Feb-5-1993,0.389
Feb-21-1993,0.149
Mar-9-1993,0.458
Mar-25-1993,
Apr-10-1993,
Apr-26-1993,0.449
May-12-1993,
May-28-1993,0.519
Jun-13-1993,0.581
Jun-29-1993,0.625
Jul-15-1993,
Jul-31-1993,0.651
Aug-16-1993,0.656
Sep-1-1993,
Sep-17-1993,0.565
Oct-3-1993,
Oct-19-1993,
Nov-4-1993,0.688
Nov-20-1993,0.558
Dec-6-1993,0.606
Jan-7-1994,0.616
Jan-23-1994,
Feb-24-1994,0.545
Mar-12-1994,
Mar-28-1994,
