date,ndvi
"Jul 8, 1999",
"Jul 24, 1999",0.597
"Aug 9, 1999",0.61
"Aug 25, 1999",0.558
"Sep 10, 1999",
"Sep 26, 1999",0.606
"Oct 12, 1999",0.602
"Oct 28, 1999",0.57
"Nov 13, 1999",0.568
"Nov 29, 1999",0.497
"Dec 15, 1999",0.585
"Dec 31, 1999",
"Jan 16, 2000",0.583
"Feb 1, 2000",0.576
"Feb 17, 2000",0.554
"Mar 4, 2000",0.55
"Mar 20, 2000",0.528
"Apr 5, 2000",0.521
"Apr 21, 2000",
"May 7, 2000",0.497
"May 23, 2000",0.519
"Jun 8, 2000",
"Jun 24, 2000",
"Jul 10, 2000",
"Jul 26, 2000",0.547
"Aug 11, 2000",
"Aug 27, 2000",0.601
"Sep 12, 2000",0.606
"Sep 28, 2000",0.584
"Oct 14, 2000",0.439
"Oct 30, 2000",0.584
"Nov 15, 2000",
"Dec 1, 2000",
"Dec 17, 2000",0.431
"Jan 2, 2001",
"Jan 18, 2001",0.104
"Feb 3, 2001",
"Feb 19, 2001",0.419
"Mar 7, 2001",
"Mar 23, 2001",0.525
"Apr 8, 2001",
"Apr 24, 2001",0.531
"May 10, 2001",
"May 26, 2001",0.553
"Jun 11, 2001",
"Jun 27, 2001",
"Jul 13, 2001",
"Jul 29, 2001",
"Aug 30, 2001",
"Sep 15, 2001",
"Oct 17, 2001",0.579
"Nov 2, 2001",0.522
"Dec 4, 2001",0.599
"Dec 20, 2001",
"Jan 5, 2002",0.558
"Jan 21, 2002",0.593
"Feb 6, 2002",0.051
"Feb 22, 2002",0.519
"Mar 10, 2002",0.546
"Mar 26, 2002",0.391
"Apr 11, 2002",0.52
"Apr 27, 2002",0.528
"May 13, 2002",
"May 29, 2002",0.55
"Jun 14, 2002",0.538
"Jun 30, 2002",0.532
"Jul 16, 2002",
"Aug 1, 2002",0.478
"Aug 17, 2002",0.357
"Sep 2, 2002",0.563
"Sep 18, 2002",
"Oct 4, 2002",0.592
"Oct 20, 2002",
"Nov 5, 2002",0.569
"Nov 21, 2002",0.571
"Dec 7, 2002",0.428
"Jan 8, 2003",
"Jan 24, 2003",0.572
"Feb 9, 2003",
"Feb 25, 2003",
"Mar 13, 2003",
"Mar 29, 2003",0.523
"Apr 14, 2003",
"Apr 30, 2003",0.507
"May 16, 2003",0.529
"Jul 19, 2003",0.496
"Aug 4, 2003",
"Aug 20, 2003",
"Sep 21, 2003",0.589
"Oct 23, 2003",0.607
"Nov 8, 2003",0.574
"Nov 24, 2003",0.592
