system:time_start,NDVI
"Jul 8, 1999",
"Jul 24, 1999",0.573
"Aug 9, 1999",0.59
"Aug 25, 1999",0.564
"Sep 10, 1999",
"Sep 26, 1999",0.562
"Oct 12, 1999",0.556
"Oct 28, 1999",0.529
"Nov 13, 1999",0.528
"Nov 29, 1999",0.464
"Dec 15, 1999",0.543
"Dec 31, 1999",
"Jan 16, 2000",0.544
"Feb 1, 2000",0.538
"Feb 17, 2000",0.521
"Mar 4, 2000",0.515
"Mar 20, 2000",0.495
"Apr 5, 2000",0.489
"Apr 21, 2000",
"May 7, 2000",0.469
"May 23, 2000",0.494
"Jun 8, 2000",
"Jun 24, 2000",
"Jul 10, 2000",
"Jul 26, 2000",0.545
"Aug 11, 2000",
"Aug 27, 2000",0.565
"Sep 12, 2000",0.571
"Sep 28, 2000",0.56
"Oct 14, 2000",0.432
"Oct 30, 2000",0.546
"Nov 15, 2000",
"Dec 1, 2000",
"Dec 17, 2000",0.412
"Jan 2, 2001",
"Jan 18, 2001",0.075
"Feb 3, 2001",
"Feb 19, 2001",0.415
"Mar 7, 2001",
"Mar 23, 2001",0.488
"Apr 8, 2001",
"Apr 24, 2001",0.501
"May 10, 2001",
"May 26, 2001",0.529
"Jun 11, 2001",
"Jun 27, 2001",
"Jul 13, 2001",0.548
"Jul 29, 2001",
"Aug 30, 2001",
"Sep 15, 2001",
"Oct 17, 2001",0.539
"Nov 2, 2001",
"Dec 4, 2001",0.555
"Dec 20, 2001",0.344
"Jan 5, 2002",0.521
"Jan 21, 2002",0.552
"Feb 6, 2002",-0.067
"Feb 22, 2002",0.463
"Mar 10, 2002",0.506
"Mar 26, 2002",0.338
"Apr 11, 2002",0.487
"Apr 27, 2002",0.491
"May 13, 2002",
"May 29, 2002",0.514
"Jun 14, 2002",0.512
"Jun 30, 2002",0.509
"Jul 16, 2002",
"Aug 1, 2002",0.508
"Aug 17, 2002",0.534
"Sep 2, 2002",0.563
"Sep 18, 2002",
"Oct 4, 2002",0.548
"Oct 20, 2002",
"Nov 5, 2002",0.53
"Nov 21, 2002",0.532
"Dec 7, 2002",0.396
"Jan 8, 2003",
"Jan 24, 2003",0.534
"Feb 9, 2003",0.175
"Feb 25, 2003",
"Mar 13, 2003",0.374
"Mar 29, 2003",0.476
"Apr 14, 2003",
"Apr 30, 2003",0.475
"May 16, 2003",0.5
"Jul 19, 2003",0.509
"Aug 4, 2003",
"Aug 20, 2003",
"Sep 21, 2003",0.556
"Oct 23, 2003",0.547
"Nov 8, 2003",0.525
"Nov 24, 2003",0.564
"Dec 10, 2003",0.423
"Dec 26, 2003",
"Jan 11, 2004",
"Jan 27, 2004",0.151
"Feb 12, 2004",
"Mar 15, 2004",0.424
"Mar 31, 2004",
"Apr 16, 2004",0.494
"May 2, 2004",0.516
"May 18, 2004",0.496
"Jun 3, 2004",0.487
"Jun 19, 2004",0.528
"Jul 5, 2004",0.55
"Jul 21, 2004",0.527
"Aug 6, 2004",
"Aug 22, 2004",0.576
"Sep 7, 2004",0.568
"Sep 23, 2004",0.533
"Oct 9, 2004",0.543
"Oct 25, 2004",
"Nov 10, 2004",0.566
"Nov 26, 2004",0.444
"Dec 12, 2004",0.43
"Dec 28, 2004",0.497
"Jan 13, 2005",-0.454
"Jan 29, 2005",-0.435
"Feb 14, 2005",0.095
"Mar 2, 2005",
"Mar 18, 2005",
"Apr 3, 2005",0.436
"Apr 19, 2005",0.481
"May 5, 2005",0.468
"May 21, 2005",0.495
"Jun 6, 2005",0.549
"Jun 22, 2005",0.548
"Jul 8, 2005",
"Jul 24, 2005",
"Aug 9, 2005",
"Aug 25, 2005",0.559
"Sep 10, 2005",
"Sep 26, 2005",0.552
"Oct 12, 2005",0.532
