date,ndvi
07/08/99,
07/24/99,
08/09/99,0.626
08/25/99,0.588
09/10/99,
09/26/99,0.58
10/12/99,0.57
10/28/99,0.554
11/13/99,0.55
11/29/99,0.39
12/15/99,0.561
12/31/99,
01/16/00,0.466
02/01/00,0.521
02/17/00,
03/04/00,0.394
03/20/00,0.402
04/05/00,0.379
04/21/00,
05/07/00,0.44
05/23/00,0.449
06/08/00,0.497
06/24/00,0.529
07/10/00,
07/26/00,
08/11/00,
08/27/00,0.51
09/12/00,0.527
09/28/00,0.511
10/14/00,0.374
10/30/00,0.244
11/15/00,0.199
12/01/00,
12/17/00,0.355
01/02/01,
01/18/01,0.081
02/03/01,0.281
02/19/01,0.385
03/07/01,
03/23/01,0.35
04/08/01,
04/24/01,0.316
05/10/01,0.351
05/26/01,0.318
06/11/01,0.48
06/27/01,
07/13/01,
07/29/01,
08/14/01,
08/30/01,
09/15/01,
10/17/01,0.387
11/02/01,0.483
12/04/01,0.474
12/20/01,0.33
01/05/02,0.413
01/21/02,0.391
02/06/02,0.379
02/22/02,0.365
03/10/02,
03/26/02,0.396
04/11/02,0.423
04/27/02,0.432
05/13/02,0.269
05/29/02,0.446
06/14/02,0.452
06/30/02,0.426
07/16/02,
08/01/02,
08/17/02,0.474
09/02/02,0.485
09/18/02,
10/04/02,0.466
10/20/02,
11/05/02,0.422
11/21/02,0.456
12/07/02,
01/08/03,
01/24/03,0.35
02/09/03,0.122
03/13/03,
03/29/03,
04/14/03,
04/30/03,0.309
05/16/03,0.401
07/19/03,0.413
08/04/03,0.455
08/20/03,
09/21/03,0.458
10/23/03,0.426
11/08/03,0.419
11/24/03,0.416
12/10/03,0.343
12/26/03,
01/11/04,
01/27/04,-0.223
02/12/04,0.148
02/28/04,
03/15/04,
03/31/04,
04/16/04,
05/02/04,0.267
05/18/04,0.357
06/03/04,0.419
06/19/04,0.448
07/05/04,0.334
07/21/04,0.223
08/06/04,0.224
08/22/04,0.239
09/07/04,0.246
09/23/04,0.235
10/09/04,0.239
10/25/04,
11/10/04,0.227
11/26/04,0.006
12/12/04,-0.048
12/28/04,
01/13/05,-0.237
01/29/05,-0.024
02/14/05,-0.328
03/02/05,-0.362
03/18/05,
04/03/05,
04/19/05,0.15
05/05/05,0.17
05/21/05,0.183
06/06/05,0.2
06/22/05,0.204
07/08/05,0.2
07/24/05,
08/09/05,
08/25/05,
09/10/05,
09/26/05,0.206
10/12/05,0.209
10/28/05,
11/13/05,0.184
11/29/05,0.181
12/15/05,0.094
12/31/05,0.165
01/16/06,
02/01/06,
02/17/06,
03/05/06,0.162
03/21/06,-0.455
04/06/06,0.146
04/22/06,0.132
05/08/06,0.169
05/24/06,0.183
06/09/06,0.188
06/25/06,0.207
07/11/06,0.229
07/27/06,
08/12/06,
08/28/06,0.28
09/13/06,
09/29/06,0.222
10/15/06,
10/31/06,0.189
11/16/06,0.184
12/02/06,0.143
12/18/06,
01/03/07,-0.121
02/04/07,
02/20/07,-0.12
03/08/07,-0.538
04/09/07,
04/25/07,0.167
05/11/07,0.182
05/27/07,0.186
06/12/07,
06/28/07,0.258
07/14/07,0.254
07/30/07,
08/15/07,0.36
08/31/07,0.37
09/16/07,
10/18/07,0.232
11/03/07,0.2
11/19/07,0.192
12/05/07,-0.031
12/21/07,
01/06/08,
01/22/08,-0.3
02/07/08,-0.225
02/23/08,-0.298
03/10/08,-0.37
03/26/08,-0.391
04/11/08,0.097
04/27/08,0.152
05/13/08,
05/29/08,0.185
06/14/08,0.224
06/30/08,0.266
07/16/08,0.319
08/01/08,0.34
08/17/08,
09/02/08,
09/18/08,0.321
10/04/08,
10/20/08,0.275
11/05/08,0.166
11/21/08,0.184
12/07/08,-0.023
01/08/09,-0.216
01/24/09,-0.234
02/09/09,-0.117
02/25/09,-0.328
03/13/09,
03/29/09,
04/14/09,0.156
04/30/09,0.157
05/16/09,0.192
06/01/09,0.249
06/17/09,0.303
07/03/09,
07/19/09,0.313
08/04/09,0.358
08/20/09,0.344
09/05/09,
09/21/09,0.296
10/23/09,0.213
11/08/09,0.205
11/24/09,0.186
12/10/09,-0.262
12/26/09,-0.275
01/11/10,-0.186
02/12/10,-0.095
03/16/10,-0.416
04/01/10,
04/17/10,-0.548
05/03/10,-0.557
05/19/10,0.155
06/04/10,0.187
06/20/10,0.241
07/06/10,0.264
07/22/10,
08/07/10,
08/23/10,0.34
09/08/10,
09/24/10,0.331
10/10/10,0.282
10/26/10,0.224
11/11/10,0.206
11/27/10,0.197
12/13/10,0.198
12/29/10,
01/14/11,-0.262
01/30/11,
02/15/11,0.011
03/03/11,-0.072
03/19/11,0.159
04/04/11,0.156
04/20/11,0.163
05/06/11,0.175
05/22/11,0.199
06/07/11,0.219
06/23/11,0.232
07/09/11,
07/25/11,
08/10/11,
08/26/11,0.347
09/11/11,0.373
09/27/11,0.321
10/13/11,0.257
10/29/11,
11/14/11,
11/30/11,0.189
12/16/11,
01/01/12,-0.23
01/17/12,-0.206
02/02/12,-0.33
02/18/12,-0.121
03/05/12,
03/21/12,-0.403
04/06/12,0.174
04/22/12,0.153
05/08/12,0.18
05/24/12,0.229
06/09/12,0.27
06/25/12,
07/11/12,
07/27/12,0.276
08/12/12,0.329
08/28/12,0.396
09/13/12,
09/29/12,0.291
10/15/12,0.227
10/31/12,0.211
11/16/12,
12/02/12,0.177
12/18/12,-0.384
01/03/13,-0.205
01/19/13,-0.309
02/04/13,
02/20/13,
03/08/13,
03/24/13,-0.243
04/25/13,0.157
05/11/13,0.191
05/27/13,0.215
06/12/13,0.243
06/28/13,
07/14/13,0.375
07/30/13,
08/15/13,0.385
08/31/13,0.358
09/16/13,0.374
10/02/13,0.285
10/18/13,0.224
11/03/13,
11/19/13,
12/05/13,
01/06/14,0.008
01/22/14,
02/07/14,-0.102
02/23/14,0.162
03/11/14,-0.354
03/27/14,
04/12/14,0.138
04/28/14,0.169
05/14/14,0.176
05/30/14,0.209
06/15/14,0.257
