date,ndvi
07/08/99,
07/24/99,
08/09/99,0.596
08/25/99,0.618
09/10/99,0.627
09/26/99,0.634
10/12/99,0.617
10/28/99,0.619
11/13/99,0.619
11/29/99,0.409
12/15/99,0.619
12/31/99,
01/16/00,0.571
02/01/00,0.606
02/17/00,
03/04/00,0.471
03/20/00,
04/05/00,0.488
04/21/00,
05/07/00,0.474
05/23/00,0.504
06/08/00,0.512
06/24/00,
07/10/00,
07/26/00,
08/11/00,
08/27/00,0.495
09/12/00,0.583
09/28/00,
10/14/00,
10/30/00,
11/15/00,
12/01/00,
12/17/00,0.476
01/02/01,
01/18/01,0.099
02/03/01,0.369
02/19/01,
03/07/01,
03/23/01,
04/08/01,
04/24/01,0.393
05/10/01,0.496
05/26/01,0.481
06/11/01,0.54
06/27/01,
07/13/01,
07/29/01,
08/14/01,
08/30/01,0.622
09/15/01,
10/17/01,0.415
11/02/01,0.568
12/04/01,0.551
12/20/01,0.423
01/05/02,0.476
01/21/02,0.46
02/06/02,0.453
02/22/02,0.446
03/10/02,0.271
03/26/02,0.505
04/11/02,0.518
04/27/02,0.511
05/13/02,0.302
05/29/02,0.506
06/14/02,0.505
06/30/02,0.46
07/16/02,
08/01/02,0.305
08/17/02,0.541
09/02/02,0.551
09/18/02,
10/04/02,0.524
10/20/02,
11/05/02,0.523
11/21/02,0.541
12/07/02,
01/08/03,
01/24/03,0.411
02/09/03,0.184
03/13/03,
03/29/03,
04/14/03,
04/30/03,0.424
05/16/03,0.491
07/19/03,0.388
08/04/03,0.494
08/20/03,
09/21/03,0.498
10/23/03,0.497
11/08/03,0.492
11/24/03,0.468
12/10/03,0.439
12/26/03,
01/11/04,
01/27/04,0.13
02/12/04,0.124
02/28/04,
03/15/04,
03/31/04,
04/16/04,
05/02/04,0.383
05/18/04,0.426
06/03/04,0.454
06/19/04,0.475
07/05/04,0.489
07/21/04,0.459
08/06/04,0.416
08/22/04,0.493
09/07/04,0.508
09/23/04,0.499
10/09/04,0.516
10/25/04,
11/10/04,0.485
11/26/04,
12/12/04,0.135
12/28/04,
01/13/05,
01/29/05,
02/14/05,0.074
03/02/05,0.192
03/18/05,
04/03/05,
04/19/05,0.268
05/05/05,0.362
05/21/05,0.465
06/06/05,0.486
06/22/05,0.483
07/08/05,0.503
07/24/05,
08/09/05,
08/25/05,
09/10/05,
09/26/05,
10/12/05,0.518
10/28/05,
11/13/05,0.512
11/29/05,0.546
12/15/05,0.485
12/31/05,0.341
01/16/06,
02/01/06,
02/17/06,
03/05/06,0.49
03/21/06,0.158
04/06/06,0.378
04/22/06,0.426
05/08/06,0.454
05/24/06,0.458
06/09/06,0.468
06/25/06,0.474
07/11/06,0.48
07/27/06,
08/12/06,
08/28/06,0.512
09/13/06,
09/29/06,0.396
10/15/06,
10/31/06,0.492
11/16/06,0.481
12/02/06,0.44
12/18/06,
01/03/07,
02/04/07,
02/20/07,
03/08/07,
04/09/07,
04/25/07,0.417
05/11/07,0.445
05/27/07,0.304
06/12/07,
06/28/07,0.491
07/14/07,0.386
07/30/07,
08/15/07,0.51
08/31/07,0.536
09/16/07,
10/18/07,0.517
11/03/07,0.497
11/19/07,0.507
12/05/07,
12/21/07,
01/06/08,
01/22/08,
02/07/08,0.236
02/23/08,0.187
03/10/08,0.285
03/26/08,0.353
04/11/08,0.406
04/27/08,0.47
05/13/08,
05/29/08,0.456
06/14/08,0.462
06/30/08,0.504
07/16/08,0.532
08/01/08,0.522
08/17/08,0.545
09/02/08,
09/18/08,
10/04/08,
10/20/08,
11/05/08,0.364
11/21/08,0.537
12/07/08,
01/08/09,0.266
01/24/09,
02/09/09,0.072
02/25/09,
03/13/09,
03/29/09,
04/14/09,
04/30/09,0.459
05/16/09,0.457
06/01/09,0.487
06/17/09,0.494
07/03/09,
07/19/09,0.548
08/04/09,0.558
08/20/09,0.554
09/05/09,
09/21/09,0.55
10/23/09,0.543
11/08/09,0.544
11/24/09,0.559
12/10/09,0.297
12/26/09,0.209
01/11/10,0.345
02/12/10,0.105
03/16/10,-0.029
04/01/10,
04/17/10,
05/03/10,
05/19/10,0.42
06/04/10,0.456
06/20/10,0.502
07/06/10,0.535
07/22/10,0.476
08/07/10,
08/23/10,0.586
09/08/10,
09/24/10,0.591
10/10/10,0.55
10/26/10,0.467
11/11/10,0.567
11/27/10,0.562
12/13/10,0.575
12/29/10,
01/14/11,0.307
01/30/11,
02/15/11,0.348
03/03/11,0.371
03/19/11,0.443
04/04/11,0.508
04/20/11,0.449
05/06/11,0.44
05/22/11,0.465
06/07/11,0.483
06/23/11,0.495
07/09/11,
07/25/11,
08/10/11,
08/26/11,
09/11/11,0.582
09/27/11,
10/13/11,0.544
10/29/11,
11/14/11,
11/30/11,0.492
12/16/11,0.095
01/01/12,0.287
01/17/12,0.153
02/02/12,
02/18/12,0.124
03/05/12,
03/21/12,0.102
04/06/12,0.426
04/22/12,0.469
05/08/12,0.454
05/24/12,0.482
06/09/12,0.475
06/25/12,
07/11/12,0.435
07/27/12,0.347
08/12/12,0.518
08/28/12,0.542
09/13/12,
09/29/12,0.528
10/15/12,0.369
10/31/12,0.508
11/16/12,
12/02/12,0.536
12/18/12,0.091
01/03/13,0.257
01/19/13,0.262
02/04/13,
02/20/13,
03/08/13,
03/24/13,0.347
04/25/13,0.458
05/11/13,0.458
05/27/13,0.435
06/12/13,0.365
06/28/13,
07/14/13,
07/30/13,0.485
08/15/13,0.559
08/31/13,
09/16/13,0.576
10/02/13,0.547
10/18/13,0.523
11/03/13,
11/19/13,
12/05/13,
01/06/14,0.385
01/22/14,
02/07/14,
02/23/14,0.478
03/11/14,
03/27/14,
04/12/14,0.344
04/28/14,0.488
05/14/14,0.451
05/30/14,0.453
06/15/14,0.498
07/01/14,0.504
07/17/14,0.537
08/18/14,0.539
09/03/14,0.534
09/19/14,
10/05/14,0.538
10/21/14,
11/06/14,0.482
11/22/14,0.564
12/08/14,0.543
12/24/14,0.167
01/09/15,
